date,addrcode,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2016-02-01,810503,32,1,307,10,9,104,38,1,502
2016-02-01,810507,80,2,253,3,16,146,55,0,555
2016-03-01,810604,87,1,160,5,35,175,31,2,496
2016-02-01,810205,33,1,263,2,21,112,28,0,460
2016-02-01,810508,48,1,214,2,18,143,36,0,462
2016-03-01,810506,136,1,367,12,36,236,103,2,893
2016-03-01,810501,155,6,575,10,33,439,108,2,1328
2016-03-01,810509,18,2,223,1,10,85,61,0,400
2016-03-01,810202,98,2,566,8,46,303,80,0,1103
2016-02-01,810504,76,3,394,4,26,190,105,1,799
2016-02-01,810505,64,3,366,5,26,148,35,1,648
2016-03-01,810203,48,0,254,5,32,260,60,1,660
2016-03-01,810204,24,1,251,3,14,165,68,0,526
2016-03-01,810111,12,1,68,2,4,31,27,1,146
2016-03-01,810201,49,0,186,5,13,86,30,1,370
2016-03-01,810105,2,0,38,1,3,16,16,0,76
2016-03-01,810103,32,8,558,7,22,341,69,2,1039
2016-03-01,810206,28,0,78,1,20,96,25,0,248
2016-03-01,810808,40,3,269,11,12,217,80,2,634
2016-03-01,810106,21,4,153,2,19,138,58,1,396
2016-03-01,810407,34,3,351,2,8,129,62,0,589
2016-03-01,810406,48,3,412,3,17,134,55,2,674
2016-03-01,810805,16,1,640,1,3,169,56,0,886
2016-03-01,810702,16,1,51,0,8,104,21,1,202
2016-03-01,810701,91,2,329,2,15,182,55,1,677
2016-03-01,810117,13,2,114,5,17,154,33,0,338
2016-03-01,810703,68,1,268,3,12,124,46,0,522
2016-03-01,810801,134,11,825,25,31,443,130,2,1601
2016-03-01,810115,16,1,171,2,10,97,41,1,339
2016-03-01,810116,7,1,81,3,6,100,23,2,223
2016-03-01,810118,0,1,16,0,2,16,5,0,40
2016-03-01,810807,41,3,891,7,5,230,83,0,1260
2016-03-01,810804,77,8,536,6,16,223,53,0,919
2016-03-01,810704,25,9,473,7,32,342,76,2,966
2016-03-01,810803,72,4,599,8,20,179,51,1,934
2016-03-01,810402,6,0,131,3,25,112,49,1,327
2016-03-01,810806,9,1,157,4,7,72,10,0,260
2016-03-01,810401,25,7,758,9,21,259,110,0,1189
2016-03-01,810405,16,4,291,4,24,209,118,1,667
2016-03-01,810403,91,6,287,6,31,264,96,1,782
2016-03-01,810304,15,1,426,7,10,98,25,1,583
2016-03-01,810303,17,1,228,4,8,95,41,1,395
2016-03-01,810404,92,3,643,17,9,268,77,2,1111
2016-04-01,810305,15,7,251,10,7,172,31,0,493
2016-02-01,810603,10,2,347,6,12,151,50,1,579
2016-03-01,810601,102,5,605,8,44,378,73,4,1219
2016-02-01,810602,38,2,270,1,35,139,24,0,509
