date,addrcode,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2016-05-01,800204,147,1,314,2,0,177,37,0,678
2016-05-01,800807,38,2,184,1,1,147,32,1,406
2016-05-01,800120,128,16,787,20,47,907,150,2,2057
2016-03-01,800501,35,0,107,2,0,72,8,0,224
2016-05-01,800810,15,0,34,0,0,103,16,1,169
2016-04-01,800415,65,0,109,4,6,77,17,0,278
2016-03-01,800505,6,2,73,4,8,102,12,0,207
2016-04-01,800406,79,2,121,4,4,65,20,0,295
2016-05-01,800121,153,6,346,5,50,470,100,1,1131
2016-03-01,800504,22,0,218,2,8,163,27,1,441
2016-05-01,800203,10,4,46,0,2,167,22,1,252
2016-04-01,801802,3,1,18,0,4,26,9,0,61
2016-05-01,800202,65,1,156,2,1,152,7,0,384
2016-04-01,800404,29,2,243,8,8,146,36,0,472
2016-05-01,800205,12,4,89,0,2,190,22,1,320
2016-05-01,800201,58,2,222,3,6,142,32,0,465
2016-05-01,801209,51,5,179,7,27,64,22,3,358
2016-03-01,800403,8,1,131,2,8,139,17,0,306
2016-03-01,801803,26,2,161,1,6,101,92,0,389
2016-05-01,800116,45,1,511,5,10,278,55,1,906
2016-04-01,800410,34,2,224,3,14,173,33,1,484
2016-05-01,800107,483,8,372,8,50,670,111,1,1703
2016-05-01,800108,106,0,439,10,5,228,34,0,822
2016-04-01,800304,32,2,147,1,6,118,11,1,318
2016-04-01,800405,73,2,118,3,10,114,14,0,334
2016-05-01,800106,79,1,205,6,13,208,38,0,550
2016-03-01,801801,43,3,187,1,8,107,90,0,439
2016-05-01,800115,55,3,836,18,12,290,44,0,1258
2016-03-01,801106,56,0,129,7,4,107,20,1,324
2016-04-01,800303,61,1,234,1,4,125,19,0,445
2016-05-01,801214,178,3,377,8,36,307,55,2,966
2016-05-01,800102,142,16,498,20,21,654,93,2,1446
2016-04-01,802203,23,2,211,2,7,112,12,0,369
2016-04-01,800407,13,1,48,0,2,24,11,0,99
2016-05-01,800118,180,5,1095,17,12,720,144,2,2175
2016-05-01,800103,170,15,514,11,16,569,87,3,1385
2016-05-01,800112,137,2,490,4,1,188,42,1,865
2016-04-01,800401,60,2,171,2,4,119,18,0,376
2016-03-01,801102,128,4,213,8,8,125,24,0,510
2016-03-01,802201,0,0,13,0,0,1,1,0,15
2016-05-01,800101,370,28,948,16,23,1297,164,5,2851
2016-03-01,800301,3,0,11,0,0,9,1,0,24
2016-04-01,800416,98,2,213,6,2,215,36,0,572
2016-04-01,800119,49,6,165,2,38,194,42,1,497
2016-05-01,801202,6,6,333,1,29,182,72,0,629
2016-05-01,800113,45,0,433,3,7,136,34,0,658
2016-05-01,800114,55,2,87,0,16,127,26,0,313
2016-03-01,801103,31,3,412,3,4,100,63,0,616
2016-05-01,800122,146,5,620,16,34,386,90,1,1298
2016-04-01,802002,48,4,431,3,32,192,67,1,778
2016-05-01,801210,22,9,442,2,27,279,59,0,840
2016-03-01,802202,15,3,296,6,6,98,31,0,455
2016-05-01,802004,7,3,349,3,6,164,50,0,582
2016-12-01,801002,19,2,778,6,8,156,56,0,1025
2016-04-01,800305,40,2,213,2,16,134,39,0,446
2016-04-01,802001,52,2,413,4,15,235,90,1,812
2016-05-01,801212,138,7,438,7,65,214,65,3,937
2016-03-01,801105,58,6,920,9,19,264,95,0,1371
2016-05-01,800302,68,0,87,0,5,81,5,0,246
2016-03-01,801003,53,5,237,3,3,136,67,0,504
2016-05-01,801208,2,2,67,0,12,68,18,0,169
2016-05-01,801205,11,1,259,2,31,164,72,0,540
2016-03-01,801101,83,5,912,13,13,228,46,0,1300
2016-04-01,801204,3,1,31,1,10,44,19,0,109
2016-04-01,802003,102,1,195,7,32,279,91,1,708
2016-05-01,801206,1,2,31,0,6,75,32,0,147
2016-04-01,801215,4,0,47,0,19,50,17,0,137
2016-04-01,801217,6,2,78,1,34,102,22,0,245
2016-05-01,801207,2,0,49,3,21,58,17,0,150
2016-05-01,801216,15,5,292,2,32,114,26,0,486
2016-03-01,800906,40,1,116,2,4,117,17,0,297
2016-04-01,801303,85,4,146,3,30,259,63,0,590
2016-03-01,801001,119,0,149,3,8,130,48,0,457
2016-05-01,801203,0,0,32,0,13,64,17,0,126
2016-05-01,802304,16,3,241,3,42,290,123,0,718
2016-05-01,801211,2,1,30,1,18,50,16,0,118
2016-12-01,801104,15,2,560,4,11,140,25,0,757
2016-12-01,801107,26,4,664,6,19,163,21,0,903
2016-03-01,800911,105,9,746,7,11,362,152,0,1392
2016-05-01,801213,0,0,17,1,8,52,12,0,90
2016-05-01,802302,3,5,99,4,17,98,49,0,275
2016-05-01,801218,13,5,301,5,24,128,23,0,499
2016-03-01,800912,154,4,196,4,10,177,76,0,621
2016-03-01,801301,19,2,59,0,0,47,46,0,173
2016-04-01,802301,0,0,2,0,0,9,1,0,12
2016-12-01,800913,52,3,690,9,12,185,40,0,991
2016-04-01,800606,2,1,30,0,16,89,25,0,163
2016-03-01,800903,112,2,164,3,3,128,58,0,470
