date,addrcode,province,district,subdist,province_en,district_en,subdist_en,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2012-02-01,100508,กรุงเทพมหานคร,เขตบางเขน,แขวงท่าแร้ง,Bangkok,,,838,44,2069,47,125,3744,447,15,7329
2012-02-01,104605,กรุงเทพมหานคร,เขตคลองสามวา,แขวงทรายกองดินใต้,Bangkok,,,82,6,314,4,43,301,63,0,813
2012-02-01,104604,กรุงเทพมหานคร,เขตคลองสามวา,แขวงทรายกองดิน,Bangkok,,,44,7,235,2,6,267,51,0,612
2017-06-01,103704,กรุงเทพมหานคร,เขตราชเทวี,แขวงมักกะสัน,Bangkok,,,63,25,189,19,6,347,80,4,733
2017-05-01,100108,กรุงเทพมหานคร,เขตพระนคร,แขวงตลาดยอด,Bangkok,,,3,3,18,8,1,47,0,0,80
2017-05-01,102005,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,Bangkok,,,57,10,188,14,5,359,48,3,684
2017-06-01,100101,กรุงเทพมหานคร,เขตพระนคร,แขวงพระบรมมหาราชวัง,Bangkok,,,46,7,44,11,2,145,14,12,281
2017-06-01,103701,กรุงเทพมหานคร,เขตราชเทวี,แขวงทุ่งพญาไท,Bangkok,,,24,18,94,9,2,223,34,6,410
2017-05-01,100112,กรุงเทพมหานคร,เขตพระนคร,แขวงวัดสามพระยา,Bangkok,,,9,7,48,2,0,155,10,0,231
2017-05-01,100110,กรุงเทพมหานคร,เขตพระนคร,แขวงบ้านพานถม,Bangkok,,,20,18,88,9,4,255,14,2,410
2017-06-01,103702,กรุงเทพมหานคร,เขตราชเทวี,แขวงถนนพญาไท,Bangkok,,,47,23,142,19,5,368,59,8,671
2017-05-01,100109,กรุงเทพมหานคร,เขตพระนคร,แขวงชนะสงคราม,Bangkok,,,4,2,25,1,2,60,7,0,101
2017-05-01,102004,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงศิริราช,Bangkok,,,28,3,53,6,5,213,19,0,327
2017-06-01,101702,กรุงเทพมหานคร,เขตห้วยขวาง,แขวงบางกะปิ,Bangkok,,,153,23,364,23,25,959,204,3,1754
2017-06-01,100805,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงวัดโสมนัส,Bangkok,,,14,9,51,9,2,160,14,0,259
2017-07-01,104601,กรุงเทพมหานคร,เขตคลองสามวา,แขวงสามวาตะวันตก,Bangkok,,,151,7,754,3,26,719,141,0,1801
2012-02-01,104203,กรุงเทพมหานคร,เขตสายไหม,แขวงคลองถนน,Bangkok,,,465,39,1381,22,162,2194,227,7,4497
2017-07-01,104202,กรุงเทพมหานคร,เขตสายไหม,แขวงออเงิน,Bangkok,,,66,5,138,1,10,154,56,1,431
2012-02-01,104101,กรุงเทพมหานคร,เขตหลักสี่,แขวงทุ่งสองห้อง,Bangkok,,,604,74,1992,46,145,4426,371,10,7668
2016-07-01,100302,กรุงเทพมหานคร,เขตหนองจอก,แขวงหนองจอก,Bangkok,,,115,2,215,0,14,170,64,0,580
2012-02-01,100502,กรุงเทพมหานคร,เขตบางเขน,แขวงอนุสาวรีย์,Bangkok,,,703,86,2273,38,137,3920,380,13,7550
2012-02-01,100306,กรุงเทพมหานคร,เขตหนองจอก,แขวงคู้ฝั่งเหนือ,Bangkok,,,97,7,230,3,21,373,35,2,768
2017-05-01,104102,กรุงเทพมหานคร,เขตหลักสี่,แขวงตลาดบางเขน,Bangkok,,,182,18,739,33,60,1196,170,6,2404
2017-05-01,100111,กรุงเทพมหานคร,เขตพระนคร,แขวงบางขุนพรหม,Bangkok,,,14,7,38,3,1,122,10,0,195
2017-06-01,100107,กรุงเทพมหานคร,เขตพระนคร,แขวงบวรนิเวศ,Bangkok,,,19,11,51,11,4,215,10,5,326
2017-05-01,101904,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางพรม,Bangkok,,,51,9,190,4,15,379,56,1,705
2012-01-01,101907,กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางเชือกหนัง,Bangkok,,,24,5,87,0,12,101,34,0,263
2012-02-01,104603,กรุงเทพมหานคร,เขตคลองสามวา,แขวงบางชัน,Bangkok,,,278,33,2099,40,142,2820,289,6,5707
2017-06-01,103703,กรุงเทพมหานคร,เขตราชเทวี,แขวงถนนเพชรบุรี,Bangkok,,,29,25,98,21,5,233,39,0,450
2017-08-01,100301,กรุงเทพมหานคร,เขตหนองจอก,แขวงกระทุ่มราย,Bangkok,,,167,8,668,9,27,753,186,2,1820
2012-01-01,100305,กรุงเทพมหานคร,เขตหนองจอก,แขวงโคกแฝด,Bangkok,,,195,17,837,11,50,1079,215,2,2406
2017-05-01,103001,กรุงเทพมหานคร,เขตจตุจักร,แขวงลาดยาว,Bangkok,,,372,58,1083,40,63,2830,326,11,4783
2011-12-01,103002,กรุงเทพมหานคร,เขตจตุจักร,แขวงเสนานิคม,Bangkok,,,87,13,280,15,14,601,68,1,1079
2012-01-01,104302,กรุงเทพมหานคร,เขตคันนายาว,แขวงรามอินทรา,Bangkok,,,484,34,1684,23,72,2796,303,10,5406
2017-08-01,101002,กรุงเทพมหานคร,เขตมีนบุรี,แขวงแสนแสบ,Bangkok,,,161,7,417,7,45,369,194,0,1200
2011-12-01,103802,กรุงเทพมหานคร,เขตลาดพร้าว,แขวงจรเข้บัว,Bangkok,,,270,15,829,9,71,2246,165,4,3609
2012-02-01,102902,กรุงเทพมหานคร,เขตบางซื่อ,แขวงวงศ์สว่าง,Bangkok,,,261,29,862,16,37,1555,171,4,2935
2012-02-01,100303,กรุงเทพมหานคร,เขตหนองจอก,แขวงคลองสิบ,Bangkok,,,65,3,160,2,19,134,18,0,401
2012-02-01,103604,กรุงเทพมหานคร,เขตดอนเมือง,แขวงดอนเมือง,Bangkok,,,428,61,2185,34,187,3792,347,8,7042
2017-05-01,101601,กรุงเทพมหานคร,เขตบางกอกใหญ่,แขวงวัดอรุณ,Bangkok,,,12,3,19,0,4,150,6,5,199
2017-06-01,100801,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงป้อมปราบ,Bangkok,,,18,12,89,19,2,164,84,4,392
2012-01-01,102208,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงคลองขวาง,Bangkok,,,41,9,250,3,16,362,32,0,713
2017-06-01,103902,กรุงเทพมหานคร,เขตวัฒนา,แขวงคลองตันเหนือ,Bangkok,,,286,39,563,27,14,1283,140,16,2368
2017-06-01,101302,กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงสัมพันธวงศ์,Bangkok,,,25,10,80,8,0,179,22,2,326
2011-12-01,104502,กรุงเทพมหานคร,เขตวังทองหลาง,แขวงสะพานสอง,Bangkok,,,153,17,523,10,21,850,135,6,1715
2012-02-01,104802,กรุงเทพมหานคร,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,Bangkok,,,271,13,837,14,61,1302,342,5,2845
2017-08-01,101104,กรุงเทพมหานคร,เขตลาดกระบัง,แขวงลำปลาทิว,Bangkok,,,114,22,1195,18,74,899,211,3,2536
2017-06-01,102601,กรุงเทพมหานคร,เขตดินแดง,แขวงดินแดง,Bangkok,,,666,125,1861,71,78,3176,381,20,6378
2017-06-01,104503,กรุงเทพมหานคร,เขตวังทองหลาง,แขวงคลองเจ้าคุณสิงห์,Bangkok,,,3,0,4,0,0,9,3,0,19
