date,addrcode,province,district,subdist,province_en,district_en,subdist_en,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2016-05-01,800204,นครศรีธรรมราช,พรหมคีรี,ทอนหงส์,Nakhon Si Thammarat,Phrom Khiri,Thon Hong,147,1,314,2,0,177,37,0,678
2016-05-01,800807,นครศรีธรรมราช,ท่าศาลา,โมคลาน,Nakhon Si Thammarat,Tha Sala,Mo Khlan,38,2,184,1,1,147,32,1,406
2016-05-01,800120,นครศรีธรรมราช,เมืองนครศรีธรรมราช,ปากพูน,Nakhon Si Thammarat,Mueang Nakhon Si Thammarat,Pak Phun,128,16,787,20,47,907,150,2,2057
2016-03-01,800501,นครศรีธรรมราช,พิปูน,พิปูน,Nakhon Si Thammarat,Phipun,Phipun,35,0,107,2,0,72,8,0,224
2016-05-01,800810,นครศรีธรรมราช,ท่าศาลา,ดอนตะโก,Nakhon Si Thammarat,Tha Sala,Don Tako,15,0,34,0,0,103,16,1,169
2016-04-01,800415,นครศรีธรรมราช,ฉวาง,นาเขลียง,Nakhon Si Thammarat,Chawang,Na Khliang,65,0,109,4,6,77,17,0,278
2016-03-01,800505,นครศรีธรรมราช,พิปูน,ควนกลาง,Nakhon Si Thammarat,Phipun,Khuan Klang,6,2,73,4,8,102,12,0,207
2016-04-01,800406,นครศรีธรรมราช,ฉวาง,กะเปียด,Nakhon Si Thammarat,Chawang,Kapiat,79,2,121,4,4,65,20,0,295
2016-05-01,800121,นครศรีธรรมราช,เมืองนครศรีธรรมราช,ท่าซัก,Nakhon Si Thammarat,Mueang Nakhon Si Thammarat,Tha Sak,153,6,346,5,50,470,100,1,1131
2016-03-01,800504,นครศรีธรรมราช,พิปูน,ยางค้อม,Nakhon Si Thammarat,Phipun,Yang Khom,22,0,218,2,8,163,27,1,441
2016-05-01,800203,นครศรีธรรมราช,พรหมคีรี,อินคีรี,Nakhon Si Thammarat,Phrom Khiri,In Khiri,10,4,46,0,2,167,22,1,252
2016-04-01,801802,นครศรีธรรมราช,ถ้ำพรรณรา,คลองเส,Nakhon Si Thammarat,Tham Phannara,Khlong Se,3,1,18,0,4,26,9,0,61
2016-05-01,800202,นครศรีธรรมราช,พรหมคีรี,บ้านเกาะ,Nakhon Si Thammarat,Phrom Khiri,Ban Ko,65,1,156,2,1,152,7,0,384
2016-04-01,800404,นครศรีธรรมราช,ฉวาง,นาแว,Nakhon Si Thammarat,Chawang,Na Wae,29,2,243,8,8,146,36,0,472
2016-05-01,800205,นครศรีธรรมราช,พรหมคีรี,นาเรียง,Nakhon Si Thammarat,Phrom Khiri,Na Riang,12,4,89,0,2,190,22,1,320
2016-05-01,800201,นครศรีธรรมราช,พรหมคีรี,พรหมโลก,Nakhon Si Thammarat,Phrom Khiri,Phrom Lok,58,2,222,3,6,142,32,0,465
2016-05-01,801209,นครศรีธรรมราช,ปากพนัง,แหลมตะลุมพุก,Nakhon Si Thammarat,Pak Phanang,Laem Talumphuk,51,5,179,7,27,64,22,3,358
2016-03-01,800403,นครศรีธรรมราช,ฉวาง,ละอาย,Nakhon Si Thammarat,Chawang,La-Ai,8,1,131,2,8,139,17,0,306
2016-03-01,801803,นครศรีธรรมราช,ถ้ำพรรณรา,ดุสิต,Nakhon Si Thammarat,Tham Phannara,Dusit,26,2,161,1,6,101,92,0,389
2016-05-01,800116,นครศรีธรรมราช,เมืองนครศรีธรรมราช,ท่างิ้ว,Nakhon Si Thammarat,Mueang Nakhon Si Thammarat,Tha Ngio,45,1,511,5,10,278,55,1,906
2016-04-01,800410,นครศรีธรรมราช,ฉวาง,ไสหร้า,Nakhon Si Thammarat,Chawang,Sai Ra,34,2,224,3,14,173,33,1,484
2016-05-01,800107,นครศรีธรรมราช,เมืองนครศรีธรรมราช,ปากนคร,Nakhon Si Thammarat,Mueang Nakhon Si Thammarat,Pak Nakhon,483,8,372,8,50,670,111,1,1703
