date,addrcode,province,district,subdist,village,hi,ci,bi,province_EN,district_EN,subdist_EN
2017-06-01,810405,กระบี่,คลองท่อม,ห้วยน้ำขาว,ห้วยน้ำขาว,22.5,6.47,22.5,Krabi,Khlong Thom,Huai Nam Khao
2017-06-01,810405,กระบี่,คลองท่อม,ห้วยน้ำขาว,น้ำร้อน,15,4.52,17.5,Krabi,Khlong Thom,Huai Nam Khao
2017-06-01,800409,นครศรีธรรมราช,ฉวาง,ห้วยปริก,ปากกา,17,3.18,17,Nakhon Si Thammarat,Chawang,Huai Prik
2017-06-01,800904,นครศรีธรรมราช,ทุ่งสง,ควนกรด,หนองเสม็ด,25,4.51,27.5,Nakhon Si Thammarat,Thung Song,Khuan Krot
2017-06-01,800912,นครศรีธรรมราช,ทุ่งสง,นาโพธิ์,เกาะปราง,15,8.95,42.5,Nakhon Si Thammarat,Thung Song,Na Pho
2017-06-01,800903,นครศรีธรรมราช,ทุ่งสง,หนองหงส์,เหนือ,17.5,3.93,22.5,Nakhon Si Thammarat,Thung Song,Nong Hong
2017-06-01,801104,นครศรีธรรมราช,ทุ่งใหญ่,กุแหระ,สองแพรก,26,4.28,26,Nakhon Si Thammarat,Thung Yai,Kurae
2017-06-01,801104,นครศรีธรรมราช,ทุ่งใหญ่,กุแหระ,เสม็ดจวน,22.5,3.79,22.5,Nakhon Si Thammarat,Thung Yai,Kurae
2017-06-01,801003,นครศรีธรรมราช,นาบอน,แก้วแสน,ไร่ยาว,20,6.22,30,Nakhon Si Thammarat,Na Bon,Kaeo Saen
2017-06-01,801701,นครศรีธรรมราช,บางขัน,บางขัน,พรุเตย,10,1.61,10,Nakhon Si Thammarat,Bang Khan,Bang Khan
2017-06-01,801704,นครศรีธรรมราช,บางขัน,บ้านนิคม,เขาวง,10,1.14,10,Nakhon Si Thammarat,Bang Khan,Ban Nikhom
2017-06-01,801702,นครศรีธรรมราช,บางขัน,บ้านลำนาว,รัตนธาร,7.5,0.83,7.5,Nakhon Si Thammarat,Bang Khan,Ban Lamnao
2017-06-01,801302,นครศรีธรรมราช,ร่อนพิบูลย์,หินตก,ท่าไทร,8.75,4.15,35,Nakhon Si Thammarat,Ron Phibun,Hin Tok
2017-06-01,801302,นครศรีธรรมราช,ร่อนพิบูลย์,หินตก,ขุนพัง,11.25,4.45,41.25,Nakhon Si Thammarat,Ron Phibun,Hin Tok
2017-06-01,801302,นครศรีธรรมราช,ร่อนพิบูลย์,หินตก,ปลายราง,10,4.33,37.5,Nakhon Si Thammarat,Ron Phibun,Hin Tok
2017-06-01,801302,นครศรีธรรมราช,ร่อนพิบูลย์,หินตก,พรุชิง,11.25,4.99,45,Nakhon Si Thammarat,Ron Phibun,Hin Tok
2017-06-01,801302,นครศรีธรรมราช,ร่อนพิบูลย์,หินตก,คีรีใหม่,10,3.98,36.25,Nakhon Si Thammarat,Ron Phibun,Hin Tok
2017-05-01,810115,กระบี่,เมืองกระบี่,ไสไทย,คลองหิน,25,7.19,25,Krabi,Mueang Krabi,Sai Thai
2017-05-01,800907,นครศรีธรรมราช,ทุ่งสง,เขาโร,หนองปลิง,17.5,2.68,17.5,Nakhon Si Thammarat,Thung Song,Khao Ro
2017-05-01,800910,นครศรีธรรมราช,ทุ่งสง,น้ำตก,ถ้ำตลอด,17.5,3.05,20,Nakhon Si Thammarat,Thung Song,Namtok
2017-05-01,800910,นครศรีธรรมราช,ทุ่งสง,น้ำตก,ในไร่,17.5,6.15,27.5,Nakhon Si Thammarat,Thung Song,Namtok
2017-05-01,801107,นครศรีธรรมราช,ทุ่งใหญ่,กรุงหยัน,ทะเลสองห้อง,15.5,2.47,15.5,Nakhon Si Thammarat,Thung Yai,Krung Yan
2017-05-01,801001,นครศรีธรรมราช,นาบอน,นาบอน,นาโพธิ์,15,7.32,22.5,Nakhon Si Thammarat,Na Bon,Na Bon
2017-04-01,810205,กระบี่,เขาพนม,หน้าเขา,ห้วยน้ำแก้ว,12.5,9.6,72.5,Krabi,Khao Phanom,Na Khao
2017-04-01,810115,กระบี่,เมืองกระบี่,ไสไทย,คลองหิน,17.5,12.85,57.5,Krabi,Mueang Krabi,Sai Thai
2017-04-01,810504,กระบี่,อ่าวลึก,คลองหิน,บน,12.5,11.06,55,Krabi,Ao Luek,Khlong Hin
2017-04-01,801503,นครศรีธรรมราช,ขนอม,ท้องเนียน,ท่าจันทร์,15,8.63,60,Nakhon Si Thammarat,Khanom,Thong Nian
2017-04-01,800801,นครศรีธรรมราช,ท่าศาลา,ท่าศาลา,ในถุ้ง,12.5,8.11,45,Nakhon Si Thammarat,Tha Sala,Tha Sala
2017-04-01,802101,นครศรีธรรมราช,นบพิตำ,นบพิตำ,โรงเหล็ก,15,7.52,60,Nakhon Si Thammarat,Nopphitam,Nopphitam
2017-04-01,801003,นครศรีธรรมราช,นาบอน,แก้วแสน,แก้วแสน,20,10.3,85,Nakhon Si Thammarat,Na Bon,Kaeo Saen
2017-04-01,800203,นครศรีธรรมราช,พรหมคีรี,อินคีรี,น้ำแคบ,10,6.51,47.5,Nakhon Si Thammarat,Phrom Khiri,In Khiri
2017-04-01,802002,นครศรีธรรมราช,พระพรหม,นาสาร,พระเพรง,10,8.17,42.5,Nakhon Si Thammarat,Phra Phrom,Na San
2017-04-01,800305,นครศรีธรรมราช,ลานสกา,ขุนทะเล,สำนักใหม่,22.5,13.48,107.5,Nakhon Si Thammarat,Lan Saka,Khun Thale
2017-04-01,801402,นครศรีธรรมราช,สิชล,ทุ่งปรัง,ทุ่งคา,10,6.21,45,Nakhon Si Thammarat,Sichon,Thung Prang
2017-03-01,810115,กระบี่,เมืองกระบี่,ไสไทย,คลองหิน,7.5,6.52,22.5,Krabi,Mueang Krabi,Sai Thai
2017-03-01,800706,นครศรีธรรมราช,ชะอวด,บ้านตูล,บ้านตูล,8.75,3.27,30,Nakhon Si Thammarat,Cha-uat,Ban Tun
