"","Subdistrict_Code","Year","Month","NumberCases"
"1","103604",2014,10,9
"2","101203",2014,10,6
"3","101504",2014,10,1
"4","100502",2014,10,9
"5","103001",2014,10,17
"6","102601",2014,10,29
"7","103501",2014,10,4
"8","104401",2014,10,8
"9","104004",2014,10,11
"10","101401",2014,10,14
"11","101506",2014,10,2
"12","101701",2014,10,3
"13","100601",2014,10,15
"14","101803",2014,10,4
"15","103802",2014,10,3
"16","104802",2014,10,6
"17","103004",2014,10,7
"18","102701",2014,10,22
"19","102901",2014,10,8
"20","104701",2014,10,21
"21","102402",2014,10,9
"22","104202",2014,10,7
"23","102803",2014,10,4
"24","100307",2014,10,2
"25","104203",2014,10,4
"26","101101",2014,10,5
"27","104501",2014,10,4
"28","100508",2014,10,7
"29","103901",2014,10,4
"30","102401",2014,10,8
"31","104301",2014,10,5
"32","102201",2014,10,5
"33","100206",2014,10,3
"34","101102",2014,10,2
"35","101501",2014,10,2
"36","104601",2014,10,4
"37","105001",2014,10,11
"38","104201",2014,10,6
"39","102105",2014,10,13
"40","104101",2014,10,7
"41","101301",2014,10,1
"42","103903",2014,10,5
"43","103504",2014,10,5
"44","104002",2014,10,2
"45","104001",2014,10,3
"46","103201",2014,10,5
"47","100305",2014,10,4
"48","101704",2014,10,7
"49","103401",2014,10,16
"50","103202",2014,10,5
"51","101204",2014,10,5
"52","102107",2014,10,12
"53","100801",2014,10,3
"54","101507",2014,10,1
"55","104801",2014,10,2
"56","100702",2014,10,3
"57","103701",2014,10,5
"58","100301",2014,10,5
"59","100905",2014,10,9
"60","100608",2014,10,16
"61","101601",2014,10,1
"62","103703",2014,10,2
"63","101804",2014,10,7
"64","102210",2014,10,2
"65","104901",2014,10,3
"66","103005",2014,10,1
"67","101902",2014,10,3
"68","102801",2014,10,6
"69","102303",2014,10,11
"70","103203",2014,10,5
"71","102302",2014,10,13
"72","104504",2014,10,6
"73","103502",2014,10,3
"74","100202",2014,10,1
"75","103801",2014,10,14
"76","101602",2014,10,3
"77","101001",2014,10,2
"78","103102",2014,10,3
"79","103602",2014,10,8
"80","104902",2014,10,8
"81","101802",2014,10,6
"82","103103",2014,10,4
"83","101002",2014,10,1
"84","100204",2014,10,1
"85","103902",2014,10,3
"86","103704",2014,10,4
"87","100306",2014,10,1
"88","100703",2014,10,5
"89","104302",2014,10,1
"90","100402",2014,10,1
"91","100203",2014,10,1
"92","103101",2014,10,5
"93","100704",2014,10,1
"94","104603",2014,10,2
"95","103503",2014,10,3
"96","102202",2014,10,1
"97","101104",2014,10,1
"98","104503",2014,10,4
"99","101106",2014,10,2
"100","100405",2014,10,5
"101","103301",2014,10,2
"102","100401",2014,10,4
"103","102004",2014,10,1
"104","104102",2014,10,6
"105","102009",2014,10,1
"106","100802",2014,10,1
"107","102705",2014,10,2
"108","101702",2014,10,2
"109","101503",2014,10,2
"110","100302",2014,10,5
"111","103003",2014,10,2
"112","100403",2014,10,1
"113","103002",2014,10,2
"114","100111",2014,10,1
"115","100109",2014,10,1
"116","101904",2014,10,1
"117","100201",2014,10,2
"118","101905",2014,10,1
"119","102504",2014,10,2
"120","101505",2014,10,1
"121","100404",2014,10,1
"122","109999",2014,10,1
"123","101103",2014,10,1
"124","103302",2014,10,1
"125","104605",2014,10,1
"126","101801",2014,10,1
"127","104101",2014,11,4
"128","103902",2014,11,12
"129","104501",2014,11,5
"130","101704",2014,11,4
"131","100305",2014,11,3
"132","102107",2014,11,25
"133","102401",2014,11,11
"134","103801",2014,11,19
"135","103101",2014,11,6
"136","103001",2014,11,7
"137","103401",2014,11,16
"138","102701",2014,11,20
"139","103604",2014,11,10
"140","103602",2014,11,12
"141","100905",2014,11,10
"142","104002",2014,11,5
"143","100601",2014,11,15
"144","103501",2014,11,8
"145","101001",2014,11,5
"146","102402",2014,11,9
"147","100302",2014,11,6
"148","103203",2014,11,7
"149","102209",2014,11,4
"150","100301",2014,11,3
"151","104701",2014,11,12
"152","104301",2014,11,8
"153","104901",2014,11,6
"154","104902",2014,11,12
"155","101203",2014,11,11
"156","101401",2014,11,19
"157","103102",2014,11,9
"158","103504",2014,11,8
"159","103704",2014,11,8
"160","104004",2014,11,11
"161","101701",2014,11,9
"162","101802",2014,11,4
"163","104203",2014,11,11
"164","104003",2014,11,5
"165","100608",2014,11,14
"166","104504",2014,11,7
"167","101204",2014,11,4
"168","103903",2014,11,8
"169","101804",2014,11,6
"170","101503",2014,11,1
"171","101601",2014,11,3
"172","101101",2014,11,6
"173","100306",2014,11,2
"174","100303",2014,11,3
"175","104601",2014,11,3
"176","104001",2014,11,9
"177","103002",2014,11,3
"178","103502",2014,11,6
"179","102006",2014,11,5
"180","105001",2014,11,18
"181","100201",2014,11,8
"182","101506",2014,11,2
"183","101803",2014,11,4
"184","104201",2014,11,6
"185","104401",2014,11,16
"186","101504",2014,11,4
"187","103202",2014,11,9
"188","101505",2014,11,3
"189","103005",2014,11,5
"190","104802",2014,11,8
"191","100805",2014,11,3
"192","103301",2014,11,9
"193","104502",2014,11,1
"194","104503",2014,11,4
"195","102503",2014,11,3
"196","102601",2014,11,40
"197","103701",2014,11,7
"198","104602",2014,11,1
"199","100206",2014,11,4
"200","103605",2014,11,2
"201","100109",2014,11,3
"202","103503",2014,11,8
"203","102901",2014,11,9
"204","103302",2014,11,2
"205","102801",2014,11,10
"206","103103",2014,11,16
"207","100402",2014,11,1
"208","104603",2014,11,3
"209","102803",2014,11,4
"210","100401",2014,11,3
"211","103201",2014,11,7
"212","101902",2014,11,6
"213","102303",2014,11,8
"214","101602",2014,11,6
"215","102802",2014,11,4
"216","102105",2014,11,8
"217","102207",2014,11,2
"218","102201",2014,11,2
"219","102005",2014,11,7
"220","101103",2014,11,2
"221","100104",2014,11,1
"222","102206",2014,11,1
"223","103702",2014,11,6
"224","102504",2014,11,4
"225","100405",2014,11,6
"226","102302",2014,11,6
"227","100801",2014,11,2
"228","100502",2014,11,3
"229","109999",2014,11,3
"230","101502",2014,11,3
"231","100111",2014,11,1
"232","102501",2014,11,1
"233","103703",2014,11,2
"234","100307",2014,11,5
"235","100110",2014,11,1
"236","103004",2014,11,1
"237","100204",2014,11,6
"238","102902",2014,11,1
"239","100702",2014,11,2
"240","101901",2014,11,4
"241","104102",2014,11,1
"242","104801",2014,11,3
"243","103802",2014,11,3
"244","102208",2014,11,1
"245","100701",2014,11,4
"246","104605",2014,11,1
"247","100508",2014,11,1
"248","101102",2014,11,1
"249","104302",2014,11,2
"250","100304",2014,11,2
"251","101302",2014,11,2
"252","101002",2014,11,1
"253","101905",2014,11,1
"254","101801",2014,11,2
"255","101501",2014,11,1
"256","100101",2014,11,1
"257","100404",2014,11,1
"258","101507",2014,11,3
"259","100803",2014,11,1
"260","100112",2014,11,1
"261","100704",2014,11,1
"262","102210",2014,11,1
"263","101104",2014,11,1
"264","100107",2014,11,2
"265","100103",2014,11,1
"266","100703",2014,11,2
"267","101903",2014,11,1
"268","101904",2014,11,1
"269","103903",2014,12,3
"270","102701",2014,12,4
"271","103301",2014,12,3
"272","100502",2014,12,5
"273","101301",2014,12,1
"274","102107",2014,12,17
"275","104503",2014,12,1
"276","104902",2014,12,10
"277","103503",2014,12,6
"278","101602",2014,12,4
"279","103401",2014,12,12
"280","104901",2014,12,3
"281","101903",2014,12,2
"282","102601",2014,12,20
"283","100508",2014,12,4
"284","102503",2014,12,1
"285","101802",2014,12,2
"286","101102",2014,12,3
"287","100601",2014,12,9
"288","104504",2014,12,4
"289","104002",2014,12,9
"290","100404",2014,12,2
"291","100801",2014,12,2
"292","103103",2014,12,10
"293","103101",2014,12,9
"294","103704",2014,12,3
"295","101204",2014,12,4
"296","102901",2014,12,7
"297","104201",2014,12,2
"298","103602",2014,12,4
"299","103502",2014,12,5
"300","102007",2014,12,2
"301","101803",2014,12,1
"302","101504",2014,12,9
"303","101401",2014,12,9
"304","104401",2014,12,7
"305","105001",2014,12,10
"306","101507",2014,12,1
"307","101101",2014,12,1
"308","101503",2014,12,5
"309","103203",2014,12,5
"310","102105",2014,12,16
"311","100301",2014,12,5
"312","103605",2014,12,1
"313","104301",2014,12,4
"314","102005",2014,12,3
"315","104004",2014,12,9
"316","102402",2014,12,7
"317","102802",2014,12,3
"318","104701",2014,12,10
"319","100201",2014,12,1
"320","104203",2014,12,4
"321","104003",2014,12,2
"322","101506",2014,12,2
"323","101501",2014,12,1
"324","100805",2014,12,2
"325","103802",2014,12,2
"326","102201",2014,12,2
"327","102302",2014,12,11
"328","100701",2014,12,3
"329","102501",2014,12,1
"330","102705",2014,12,2
"331","103102",2014,12,2
"332","103801",2014,12,9
"333","103501",2014,12,4
"334","100111",2014,12,1
"335","102009",2014,12,3
"336","103201",2014,12,4
"337","100703",2014,12,1
"338","101303",2014,12,1
"339","104101",2014,12,2
"340","103202",2014,12,3
"341","101905",2014,12,1
"342","102504",2014,12,1
"343","103604",2014,12,7
"344","100702",2014,12,3
"345","100204",2014,12,1
"346","100608",2014,12,7
"347","102303",2014,12,5
"348","103504",2014,12,4
"349","102209",2014,12,1
"350","102207",2014,12,1
"351","101505",2014,12,3
"352","103001",2014,12,11
"353","102902",2014,12,1
"354","102801",2014,12,2
"355","100112",2014,12,1
"356","101203",2014,12,5
"357","103702",2014,12,2
"358","104001",2014,12,9
"359","101701",2014,12,2
"360","100305",2014,12,2
"361","100302",2014,12,2
"362","101502",2014,12,1
"363","102401",2014,12,1
"364","103303",2014,12,2
"365","101001",2014,12,4
"366","103901",2014,12,2
"367","102803",2014,12,1
"368","104202",2014,12,1
"369","104302",2014,12,2
"370","103902",2014,12,4
"371","103004",2014,12,3
"372","100110",2014,12,1
"373","101902",2014,12,3
"374","100109",2014,12,2
"375","101601",2014,12,1
"376","100307",2014,12,4
"377","104802",2014,12,2
"378","109999",2014,12,1
"379","104605",2014,12,1
"380","104801",2014,12,2
"381","101302",2014,12,2
"382","100206",2014,12,2
"383","103002",2014,12,1
"384","103005",2014,12,1
"385","102202",2014,12,1
"386","103701",2014,12,2
"387","100104",2014,12,1
"388","101804",2014,12,1
"389","100401",2014,12,2
"390","103703",2014,12,1
"391","102208",2014,12,1
"392","101702",2014,12,1
"393","103302",2014,12,1
"394","104602",2014,12,1
"395","100905",2014,12,3
"396","100704",2014,12,1
"397","104501",2014,12,2
"398","102210",2014,12,1
"399","100608",2014,1,4
"400","104701",2014,1,7
"401","102901",2014,1,9
"402","102005",2014,1,5
