"","Subdistrict_Code","Year","Week","NumberCases"
"1","103604",2014,40,4
"2","101203",2014,40,2
"3","101504",2014,40,2
"4","100502",2014,40,4
"5","103001",2014,40,8
"6","102601",2014,40,7
"7","103501",2014,40,1
"8","104401",2014,40,2
"9","104004",2014,40,4
"10","101401",2014,40,3
"11","101506",2014,40,2
"12","101701",2014,40,1
"13","100601",2014,40,4
"14","101803",2014,40,1
"15","103802",2014,40,1
"16","104802",2014,40,3
"17","103004",2014,40,1
"18","102701",2014,40,7
"19","102901",2014,40,1
"20","104701",2014,40,4
"21","102402",2014,40,3
"22","104202",2014,40,3
"23","102803",2014,40,1
"24","100307",2014,40,1
"25","104203",2014,40,1
"26","101101",2014,40,1
"27","104501",2014,40,3
"28","100508",2014,40,3
"29","103901",2014,40,1
"30","102401",2014,40,1
"31","104301",2014,40,1
"32","102201",2014,40,1
"33","100206",2014,40,2
"34","101102",2014,40,2
"35","101501",2014,40,1
"36","104601",2014,40,3
"37","105001",2014,40,3
"38","104201",2014,40,1
"39","102105",2014,40,1
"40","104101",2014,40,3
"41","101301",2014,40,1
"42","103903",2014,40,2
"43","103504",2014,40,2
"44","104002",2014,40,1
"45","104001",2014,40,2
"46","103201",2014,40,1
"47","100305",2014,40,3
"48","101704",2014,40,2
"49","103401",2014,40,4
"50","103202",2014,40,1
"51","101204",2014,40,1
"52","102107",2014,40,4
"53","100801",2014,40,3
"54","101507",2014,40,1
"55","104801",2014,40,1
"56","100702",2014,40,2
"57","103701",2014,40,1
"58","100301",2014,44,4
"59","100905",2014,44,2
"60","100608",2014,44,6
"61","103001",2014,44,3
"62","102601",2014,44,3
"63","101401",2014,44,5
"64","102105",2014,44,2
"65","101601",2014,40,1
"66","103703",2014,40,1
"67","101804",2014,40,1
"68","102210",2014,40,1
"69","104901",2014,40,1
"70","103005",2014,40,1
"71","101902",2014,40,1
"72","102801",2014,40,1
"73","102303",2014,40,2
"74","103203",2014,40,1
"75","102302",2014,40,1
"76","104504",2014,40,1
"77","103502",2014,40,1
"78","100202",2014,41,1
"79","102302",2014,41,1
"80","102401",2014,41,4
"81","103801",2014,41,4
"82","101401",2014,41,4
"83","103604",2014,41,1
"84","103001",2014,41,3
"85","102303",2014,41,3
"86","101602",2014,41,1
"87","102701",2014,41,3
"88","101701",2014,41,1
"89","101001",2014,41,1
"90","103102",2014,41,1
"91","103901",2014,41,2
"92","103201",2014,41,3
"93","102901",2014,41,2
"94","104802",2014,41,2
"95","103602",2014,41,4
"96","102601",2014,41,5
"97","105001",2014,41,2
"98","104701",2014,41,7
"99","103401",2014,41,3
"100","104004",2014,41,3
"101","100905",2014,41,1
"102","102107",2014,41,2
"103","102105",2014,41,5
"104","104902",2014,41,1
"105","101802",2014,41,2
"106","100502",2014,41,3
"107","103103",2014,41,1
"108","103203",2014,41,1
"109","102402",2014,41,3
"110","101704",2014,41,2
"111","104101",2014,41,2
