"","Subdistrict_Code","Year","NumberCases"
"1","103604",2014,45
"2","101203",2014,47
"3","101504",2014,36
"4","100502",2014,54
"5","103001",2014,91
"6","102601",2014,176
"7","103501",2014,29
"8","104401",2014,88
"9","104004",2014,65
"10","101401",2014,75
"11","101506",2014,10
"12","101701",2014,34
"13","100601",2014,64
"14","101803",2014,26
"15","103802",2014,19
"16","104802",2014,32
"17","103004",2014,27
"18","102701",2014,98
"19","102901",2014,74
"20","104701",2014,111
"21","102402",2014,47
"22","104202",2014,30
"23","102803",2014,28
"24","100307",2014,36
"25","104203",2014,46
"26","101101",2014,27
"27","104501",2014,42
"28","100508",2014,37
"29","103901",2014,11
"30","102401",2014,42
"31","104301",2014,40
"32","102201",2014,24
"33","100206",2014,30
"34","101102",2014,17
"35","101501",2014,6
"36","104601",2014,27
"37","105001",2014,77
"38","104201",2014,34
"39","102105",2014,60
"40","104101",2014,60
"41","101301",2014,2
"42","103903",2014,41
"43","103504",2014,46
"44","104002",2014,41
"45","104001",2014,57
"46","103201",2014,69
"47","100305",2014,31
"48","101704",2014,21
"49","103401",2014,109
"50","103202",2014,35
"51","101204",2014,48
"52","102107",2014,100
"53","100801",2014,12
"54","101507",2014,6
"55","104801",2014,13
"56","100702",2014,11
"57","103701",2014,25
"58","100301",2014,28
"59","100905",2014,61
"60","100608",2014,96
"61","101601",2014,11
"62","103703",2014,15
"63","101804",2014,24
"64","102210",2014,8
"65","104901",2014,42
"66","103005",2014,16
"67","101902",2014,23
"68","102801",2014,38
"69","102303",2014,73
"70","103203",2014,35
"71","102302",2014,98
"72","104504",2014,55
"73","103502",2014,27
"74","100202",2014,2
"75","103801",2014,93
"76","101602",2014,32
"77","101001",2014,47
"78","103102",2014,43
"79","103602",2014,49
"80","104902",2014,63
"81","101802",2014,32
"82","103103",2014,63
"83","101002",2014,15
"84","100204",2014,16
"85","103902",2014,41
"86","103704",2014,28
"87","100306",2014,6
"88","100703",2014,16
"89","104302",2014,18
"90","100402",2014,8
"91","100203",2014,18
"92","103101",2014,48
"93","100704",2014,9
"94","104603",2014,34
"95","103503",2014,21
"96","102202",2014,14
"97","101104",2014,9
"98","104503",2014,15
"99","101106",2014,6
"100","100405",2014,16
"101","103301",2014,59
