addrcode,date,cases
100101,2014-11-01,1
100101,2015-08-01,2
100101,2015-11-01,9
100101,2015-12-01,2
100101,2015-05-01,2
100101,2015-07-01,4
100101,2015-01-01,1
100101,2016-01-01,3
100101,2017-10-01,2
100102,2014-01-01,2
100102,2014-09-01,1
100102,2015-12-01,3
100102,2015-08-01,4
100102,2015-10-01,7
100102,2015-11-01,7
100102,2015-09-01,2
100102,2015-07-01,1
100102,2015-06-01,2
100102,2015-04-01,2
100102,2015-05-01,2
100102,2016-03-01,1
100102,2016-02-01,1
100102,2016-12-01,2
100102,2016-01-01,4
100102,2016-07-01,1
100102,2017-08-01,1
100102,2017-03-01,1
100102,2017-07-01,1
100102,2017-04-01,1
100102,2017-10-01,1
100102,2018-05-01,2
100103,2014-11-01,1
100103,2014-02-01,1
100103,2014-05-01,2
100103,2015-10-01,6
100103,2015-09-01,2
100103,2015-08-01,3
100103,2015-05-01,1
100103,2016-02-01,2
100103,2016-08-01,2
100103,2017-08-01,2
100103,2017-12-01,1
100103,2017-07-01,1
100103,2017-09-01,1
100103,2017-11-01,1
100103,2018-04-01,1
100104,2014-11-01,1
100104,2014-12-01,1
100104,2015-11-01,6
100104,2015-07-01,2
100104,2015-08-01,2
100104,2015-09-01,1
100104,2015-12-01,3
100104,2015-10-01,1
100104,2015-06-01,1
100104,2016-11-01,1
100104,2016-01-01,2
100104,2016-02-01,1
100104,2016-07-01,1
100104,2017-09-01,1
100104,2017-08-01,1
100104,2017-05-01,1
100104,2017-11-01,1
100104,2017-10-01,1
100104,2018-04-01,1
100105,2015-12-01,1
100105,2015-07-01,4
100105,2015-11-01,4
100105,2015-10-01,1
100105,2016-02-01,3
100105,2016-01-01,1
100105,2016-08-01,1
100105,2016-03-01,1
100105,2017-07-01,1
100105,2017-08-01,1
100106,2015-07-01,3
100106,2015-12-01,1
100106,2015-08-01,3
100106,2015-11-01,1
100106,2015-06-01,1
100106,2016-05-01,1
100106,2016-09-01,2
100106,2017-07-01,1
100106,2017-01-01,2
100107,2014-11-01,2
100107,2014-03-01,1
100107,2014-04-01,1
100107,2015-07-01,3
100107,2015-11-01,4
100107,2015-10-01,1
100107,2015-01-01,1
100107,2015-06-01,7
100107,2015-09-01,1
100107,2015-12-01,3
100107,2015-05-01,3
100107,2015-04-01,1
100107,2015-02-01,1
100107,2016-10-01,2
100107,2016-04-01,1
100107,2016-01-01,2
100107,2016-02-01,1
100107,2017-08-01,1
100107,2017-12-01,1
