addrcode,population
810101,20940
810102,10805
810103,16965
810105,10473
810106,6694
810111,9815
810115,13989
810116,12919
810117,10202
810118,5486
810201,7096
810201,5546
810202,8769
810203,9266
810204,8982
810205,9417
810206,5880
810301,6372
810301,1191
810302,5887
810303,8300
810304,6100
810305,6487
810401,9197
810401,3893
810402,6483
810403,16897
810403,2970
810404,10772
810405,9658
810406,10632
810407,6296
810501,5512
810501,5005
810502,2386
810502,4084
810503,4948
810504,6965
810505,6465
810506,6700
810506,756
810507,4350
810508,3913
810509,5054
810601,12497
810601,6137
810602,6453
810603,7618
810604,5873
810701,5348
810701,3946
810702,6063
810703,4651
810703,310
810704,3884
810801,10164
810801,4446
810802,5273
810803,9284
810804,5773
810805,6445
810806,6013
810807,7820
810808,7416
