addrcode,population
800101,43678
800102,17380
800103,17835
800106,8177
800107,14884
800108,6518
800112,9559
800113,6544
800114,5013
800115,14001
800116,10627
800118,34474
800119,10832
800120,38635
800121,11180
800122,21993
800201,9167
800202,5180
800203,5791
800204,11757
800205,5618
800301,7620
800302,5885
800303,7974
800304,9125
800305,10296
800401,8012
800403,11515
800404,7372
800405,7821
800406,4150
800407,4648
800409,6512
800410,6956
800415,2845
800416,7462
800501,5621
800502,5540
800503,8188
800504,5898
800505,3979
800601,4523
800603,2600
800604,885
800605,2767
800606,4404
800607,4493
800610,2780
800611,7053
800612,6379
800613,7573
800701,12683
800702,4796
800703,7227
800704,7434
800705,10304
800706,7133
800707,5908
800708,8989
800709,7327
800710,8152
800711,6554
800801,32895
800802,8681
800803,13712
800804,4982
800806,8949
800807,14220
800809,7053
800810,5058
800811,8617
800813,8900
800901,30598
800902,13286
800903,11010
800904,10287
800905,9675
800906,9859
800907,10575
800908,15520
800909,13912
800910,3315
800911,12247
800912,6304
800913,14136
801001,11392
801002,8417
801003,7125
801101,14901
801102,5620
801103,9878
801104,8142
801105,16068
801106,9125
801107,10583
801202,11202
801203,4542
801204,3540
801205,6089
801206,5146
801207,3811
801208,5817
801209,2011
801210,8999
801211,2577
801212,6543
801213,1063
801214,11424
801215,3064
801217,34142
801218,4959
801301,26420
801302,18907
801303,11062
801304,4466
801305,12809
801306,8367
801401,15490
801402,11476
801403,6663
801404,12373
801405,7640
801406,10132
801407,8023
801408,5647
801409,11167
801501,13785
801502,10994
801503,5614
801601,12936
801602,10411
801603,7797
801604,6158
801605,6575
801606,3607
801607,1984
801608,2974
801609,4988
801610,2193
801611,6880
801701,13973
801702,16284
801703,9002
801704,7655
801801,7833
801802,4322
801803,7022
801901,1609
801902,2709
801903,3311
801904,9776
801905,7146
801906,7033
802001,8372
802002,10127
802003,13315
802004,11774
802101,8183
802102,9908
802103,7526
802104,7703
802201,17167
802202,7681
802203,5061
802301,6143
802302,5639
802303,11118
802304,8672
801216,4775
801201,10456
