addrcode,population
800101,43678
800102,17380
800103,17835
800106,8177
800107,14884
800108,6518
800112,9559
800113,6544
800114,5013
800115,14001
800116,10627
800118,34474
800119,10832
800120,38635
800121,11180
800122,21993
800201,9167
800202,5180
800203,5791
800204,11757
800205,5618
800301,7620
800302,5885
800303,7974
800304,9125
800305,10296
800401,8012
800403,11515
800404,7372
800405,7821
800406,4150
800407,4648
800409,6512
800410,6956
800415,2845
800416,7462
800501,5621
800502,5540
800503,8188
800504,5898
800505,3979
800601,4523
800603,2600
800604,885
800605,2767
800606,4404
800607,4493
800610,2780
800611,7053
800612,6379
800613,7573
800701,12683
800702,4796
800703,7227
800704,7434
800705,10304
800706,7133
800707,5908
800708,8989
800709,7327
800710,8152
800711,6554
800801,32895
800802,8681
800803,13712
800804,4982
800806,8949
800807,14220
800809,7053
800810,5058
800811,8617
800813,8900
800901,30598
800902,13286
800903,11010
800904,10287
800905,9675
800906,9859
800907,10575
800908,15520
800909,13912
800910,3315
800911,12247
800912,6304
800913,14136
801001,11392
801002,8417
801003,7125
801101,14901
801102,5620
801103,9878
801104,8142
801105,16068
801106,9125
801107,10583
801202,11202
801203,4542
801204,3540
801205,6089
801206,5146
801207,3811
801208,5817
801209,2011
801210,8999
801211,2577
801212,6543
801213,1063
801214,11424
801215,3064
801217,34142
801218,4959
801301,26420
801302,18907
801303,11062
801304,4466
801305,12809
801306,8367
801401,15490
801402,11476
801403,6663
801404,12373
801405,7640
801406,10132
801407,8023
801408,5647
801409,11167
801501,13785
801502,10994
801503,5614
801601,12936
801602,10411
801603,7797
801604,6158
801605,6575
801606,3607
801607,1984
801608,2974
801609,4988
801610,2193
801611,6880
801701,13973
801702,16284
801703,9002
801704,7655
801801,7833
801802,4322
801803,7022
801901,1609
801902,2709
801903,3311
801904,9776
801905,7146
801906,7033
802001,8372
802002,10127
802003,13315
802004,11774
802101,8183
802102,9908
802103,7526
802104,7703
802201,17167
802202,7681
802203,5061
802301,6143
802302,5639
802303,11118
802304,8672
801216,4775
801201,10456
810101,20940
810102,10805
810103,16965
810105,10473
810106,6694
810111,9815
810115,13989
810116,12919
810117,10202
810118,5486
810201,7096
810201,5546
810202,8769
810203,9266
810204,8982
810205,9417
810206,5880
810301,6372
810301,1191
810302,5887
810303,8300
810304,6100
810305,6487
810401,9197
810401,3893
810402,6483
810403,16897
810403,2970
810404,10772
810405,9658
810406,10632
810407,6296
810501,5512
810501,5005
810502,2386
810502,4084
810503,4948
810504,6965
810505,6465
810506,6700
810506,756
810507,4350
810508,3913
810509,5054
810601,12497
810601,6137
810602,6453
810603,7618
810604,5873
810701,5348
810701,3946
810702,6063
810703,4651
810703,310
810704,3884
810801,10164
810801,4446
810802,5273
810803,9284
810804,5773
810805,6445
810806,6013
810807,7820
810808,7416
100101,4089
100102,11586
100103,3402
100104,3431
100105,3280
100106,2360
100107,5079
100108,2578
100109,2021
100110,6980
100111,4732
100112,2984
100201,13954
100202,11600
100203,9438
100204,7585
100206,55873
100301,37469
100302,20528
100303,8823
100304,10864
100305,33455
100306,17434
100307,29912
100308,9359
100401,11944
100402,16245
100403,5345
100404,2902
100405,10872
100502,95915
100508,94913
100601,80437
100608,67955
100701,17655
100702,7623
100703,6059
100704,18257
100801,15934
100802,7294
100803,9807
100804,7189
100805,7226
100905,91305
101001,96899
101002,44315
101101,29474
101102,66991
101103,15483
101104,23696
101105,28320
101106,7969
101203,48997
101204,30577
101301,7680
101302,9201
101303,7904
101401,72102
101501,9340
101502,12693
101503,21903
101504,17072
101505,16408
101506,17647
101507,15964
101601,13921
101602,53966
101701,25184
101702,17056
101704,38950
101801,13667
101802,16008
101803,25128
101804,19068
101901,10660
101902,25132
101903,24503
101904,13845
101905,19436
101907,11713
102004,16652
102005,32419
102006,9511
102007,33291
102009,20708
102105,57030
102107,122738
102201,37977
102202,29557
102206,8199
102207,19009
102208,11240
102209,15083
102210,6517
102302,78841
102303,76388
102401,33420
102402,49828
102501,24138
102502,25255
102503,19029
102504,25349
102601,123966
102701,69682
102704,28023
102705,46744
102801,39763
102802,21071
102803,19663
102901,81838
102902,44298
103001,43919
103002,20065
103003,38952
103004,31180
103005,24014
103101,25510
103102,27058
103103,37809
103201,83072
103202,42765
103203,46924
103301,69264
103302,11321
103303,23626
103401,121740
103501,37526
103502,35576
103503,45151
103504,35415
103602,62838
103604,82026
103605,24032
103701,32131
103702,9047
103703,14844
103704,16414
103801,93338
103802,27662
103901,8612
103902,53272
103903,22644
104001,39433
104002,60340
104003,40262
104004,52378
104101,77494
104102,28094
104201,78615
104202,36104
104203,85655
104301,45794
104302,49575
104401,94982
104501,25472
104502,12430
104503,29826
104504,45121
104601,54670
104602,25656
104603,80949
104604,11838
104605,16394
104701,92023
104801,22613
104802,55277
104901,54546
104902,66430
105001,107136
