addrcode,land_area,image_area
100508,212.9656986015,194.8504
104605,161.157092797,40.5086
104604,98.8996761823,28.0878
103704,22.9852738815,45.3781
100108,1.7456051785,2.6818
102005,21.4132017824,17.6431
100101,14.1067706742,16.1611
103701,23.1371431602,28.0172
100112,4.6887284443,5.0812
100110,3.8155153164,7.1278
103702,11.3800610842,19.6897
100109,3.1482007026,3.8109
102004,13.0768411652,11.1504
101702,56.7616033394,92.3087
100805,4.2396349654,7.6218
104601,268.0761869511,72.4073
104203,111.2272769995,84.1223
104202,140.6602645803,41.9906
104101,155.7821280165,185.1114
100302,284.2581261877,50.8121
100502,167.5741118069,161.752
100306,165.7026806959,34.157
104102,54.8589001721,89.8387
100111,4.1826747439,5.3635
100107,4.547831428,7.4101
101904,47.5130855142,33.8042
101907,39.1201396444,18.2077
104603,186.9203644787,125.6895
103703,9.0665360299,14.8908
100301,371.4893667236,70.2195
100305,203.2686434998,50.9533
103001,99.2163929288,161.8931
103002,26.2998552123,29.6404
104302,117.3348093901,155.8945
101002,336.6755401103,69.655
103802,58.8733371508,72.0544
102902,59.8447637568,77.9825
100303,286.7454435657,36.9094
103604,99.3370057925,118.0676
101601,8.152067269,5.2929
100801,5.763245619,10.1624
102208,25.0426448915,17.0785
103902,67.5999761791,80.6643
101302,4.6180615692,6.0692
104502,15.9013565002,33.0279
104802,295.0439031128,159.7054
101104,305.5904667967,141.8505
102601,78.630414165,131.547
104503,33.545647763,9.739
101903,84.6391388138,25.6178
101602,50.3404360878,32.4633
100307,309.0589736301,36.8388
103004,51.5972305317,57.9399
102702,43.6691885981,48.6244
100308,228.9573921645,1.6232
102901,59.8634804286,6.0692
101801,8.4806990392,9.1744
103201,227.5500761015,182.9943
100401,5.9473663889,11.5033
100204,3.2977263822,4.5872
103605,133.7274619376,81.5111
103602,107.9277842862,102.7534
100304,383.8704661086,63.4446
104201,153.3808824499,101.6243
100203,17.4658501756,16.5139
100608,146.910495499,169.9384
101105,258.4731326107,87.0864
102007,36.7237294788,29.4993
101106,215.204177227,29.4287
100405,7.151737515,11.4327
101101,101.7989676779,2.5406
100404,4.4725793058,5.2224
104002,120.780991024,14.3968
102703,79.6396344064,93.5084
103801,138.679971011,200.0728
101001,230.9818354782,180.1008
103003,54.4774014938,93.5084
103005,71.7864502646,111.9984
100601,109.2943526062,154.0596
102701,94.08703482,100.0011
102502,28.7686425358,15.2436
101704,49.8817411706,67.2555
102303,156.3509047989,100.1423
101802,9.7243030316,7.9747
101502,6.0384926615,4.4461
102206,13.5731814188,7.4807
103302,18.0517190793,22.3715
100702,12.4137683772,20.1837
100703,19.5268297037,25.1238
100704,31.1551948625,46.7895
103901,20.2504113161,23.3595
100102,6.6205014401,9.6684
102209,16.6153701227,14.5379
100403,5.615979327,12.209
104501,45.6431119513,81.7229
102202,30.9013741885,18.4194
100402,14.0746069859,23.43
100206,52.1733947675,3.6698
101902,58.0264121599,68.9492
104401,260.6541141527,205.7186
102501,30.9088459213,48.7655
101401,85.5888233512,137.1222
103102,15.420415082,8.8216
103203,151.6455861994,103.4592
101701,44.920984965,48.9067
102503,22.0955768772,23.0066
102105,677.6275398923,93.2262
101506,15.9845932177,18.3488
104001,64.664767645,58.0105
104004,112.3401547179,25.8295
103501,58.4175714174,30.6284
100905,126.0684616763,16.7257
103103,42.3298067951,40.8614
102210,7.11206377,4.6578
102207,27.1016764938,20.0426
100104,2.1496418311,3.1052
103301,69.5533391493,44.5312
102009,28.0154547575,36.7682
100202,10.3312318016,7.8335
102504,27.8789366093,26.3235
101103,163.2954256379,88.0744
100201,21.969275178,20.1131
101901,11.5426643258,4.6578
101905,91.3980171576,35.9214
101102,149.9009676935,16.6551
102006,15.2377396399,6.9161
104801,185.5193768386,68.2435
100701,11.5026026772,19.6191
104003,146.9731615845,75.8653
100802,4.1025892899,7.4807
100103,1.9690868431,3.3169
103401,223.9054308445,252.0141
101501,6.9706424122,8.3275
101303,3.693651192,3.8109
102107,456.702472567,183.206
102802,16.7170920926,18.4194
101507,13.274465275,10.0919
101803,21.2120507007,14.3968
101301,4.6247481605,5.6458
102801,23.0509281672,33.7336
100803,5.4104812848,8.5393
100105,1.389690436,3.458
100804,3.7407421481,6.0692
100106,1.4276308498,1.8349
103903,32.8361967482,43.0492
103303,35.3395185699,36.9094
102201,57.7994386264,38.956
101505,13.935933543,13.8322
103101,19.4309603617,12.3502
103202,119.6207491374,1.2703
103504,48.6102515828,33.8748
102302,179.8321498228,101.6243
101204,48.1468626255,29.0053
102402,67.0655487249,46.5072
105001,332.9227803876,214.5401
103503,81.880352508,63.6563
102401,47.4416959135,32.1104
104701,175.8953819961,51.7296
101504,12.845763378,17.7842
101203,67.9580483764,74.8773
101804,15.9853024401,16.6551
101503,9.5289710366,9.1038
102803,27.639035312,31.8987
103502,26.2056953504,18.2077
104902,202.1833080982,73.8893
104301,118.4171922668,80.876
104602,401.4270061318,74.0305
104504,63.5018228473,90.9678
104901,103.6908018941,45.6604
