addrcode,land_area,image_area
810503,695.695247043,75.7242
810507,650.995929946,69.9373
810604,692.8660445184,86.8746
810205,1546.1948123194,46.7895
810508,780.6876760736,43.402
810506,655.0399277663,91.6736
810501,796.768297263,77.9825
810509,413.6345071893,54.623
810502,1240.0762410584,12.7736
810202,1122.1567877193,75.6536
810504,969.4844125429,74.5245
810505,1007.2307693814,30.205
810203,1176.7571212896,67.4672
810204,1492.226575385,93.7907
810111,1397.4460979855,33.8042
810201,1068.249011686,65.4206
810105,1081.722724194,40.5791
810103,1447.7276989205,140.7214
810206,1350.0114875768,50.6004
810808,1078.4474083069,85.3926
810106,1666.7645563845,61.1157
810407,1346.6888410825,74.6656
810406,1577.0354850811,75.5831
810805,624.9718638186,74.7362
810702,514.8350860872,50.3181
810701,678.5683172197,39.8028
810117,640.1700740772,59.0691
810703,686.5170257707,26.8881
810801,426.0000448749,83.7695
810115,648.9136782771,46.4366
810101,172.4706789088,18.7017
810116,371.1523008431,69.7961
810118,730.323413754,2.0466
810106,4.8085361487,0.0706
810807,573.0023112614,93.2262
810804,253.4861421972,33.9453
810704,688.6310723969,60.7628
810803,971.1967065815,74.9479
810402,1741.5651827448,86.5218
810806,208.0306266539,44.7429
810401,839.5096567249,93.6496
810405,1157.3947591056,87.5098
810403,1846.3062909601,135.3579
810304,632.7968764468,41.8494
810303,900.9783931072,79.2528
810404,1682.4159643159,82.6403
810305,305.9721222687,45.2369
810301,404.2597798497,3.3169
810603,965.8979299263,70.7136
810601,2161.0260755268,160.764
810602,1012.5517088232,66.4086
