addrcode,land_area,image_area
800204,1070.57776584,52.2942
800807,341.4390434666,28.229
800120,856.0905976719,151.8718
800501,451.8319900389,12.4913
800810,275.5609446484,31.8282
800415,179.5041793732,10.4447
800505,348.2914400874,12.4913
800406,405.5202629393,17.4314
800121,421.1416858084,60.5511
800504,820.5206131834,21.454
800203,151.8871963447,29.0053
801802,523.5668897778,10.233
800202,271.9321567275,16.0905
800404,329.4516140021,29.0758
800205,259.9032655954,35.3568
800201,496.5856183101,33.8748
801209,225.7767168086,20.3249
800403,958.063458436,39.0971
801803,595.1902869043,44.1783
800116,601.4129681749,62.2449
800410,443.7353690582,36.4154
800107,311.2896397697,74.7362
800108,166.2764628952,34.157
800304,867.8688396797,24.4886
800405,277.0020559715,27.5938
800106,444.0035416239,56.8814
801801,492.2201632603,36.9094
800115,163.53368693,62.1037
801106,754.58877218,55.9639
800303,319.4135016393,23.0066
801214,677.0242913128,44.3195
800102,34.3456447328,30.3461
802203,445.6564796691,26.9587
800407,280.6831102565,7.6924
800118,251.0795706727,92.5204
800103,20.5735006874,29.1464
800112,278.9554537692,40.3674
800401,249.2293417587,19.3368
801102,568.2237680248,63.4446
802201,1694.9645452076,24.8415
800101,78.8594234917,82.4286
800301,778.277544075,10.7976
800416,235.5296246967,32.675
800119,435.2288560853,49.6124
801202,523.1283178214,57.7282
800113,133.8262836409,34.0159
800114,70.9879036297,18.9134
801103,734.2575899549,61.892
800122,813.8796567581,123.5723
802002,265.6429545764,67.3261
801210,198.911263375,48.8361
802202,348.9172298282,46.2955
802004,576.1209658257,66.6204
801002,506.8021034328,30.1344
800305,466.8862276737,54.6936
802001,203.3843671653,61.9626
801212,219.6353473915,52.5764
801105,965.3866400093,71.4899
800302,713.4539188706,24.2063
801003,614.7088911008,60.5511
801208,230.7217419829,28.7935
801205,234.3136833175,50.9533
801101,653.2053056871,57.8694
801204,333.8374880126,32.9573
802003,314.4540183135,73.6776
801302,992.1426955443,26.1824
801206,375.5042750708,47.5658
801215,175.9248318098,15.6671
801217,311.2249621775,49.2595
801207,195.571011154,30.9107
801216,249.183815851,41.2849
800906,811.6569127824,25.6178
801303,295.1200967644,53.9173
801001,774.6228194067,46.3661
801203,303.1466918589,37.8268
802304,427.3208396022,67.3261
801211,108.9886089873,18.8428
801104,763.463489501,53.7056
801107,1043.6044987355,65.4206
800911,1196.5636122303,72.4073
801213,137.6543998602,19.0546
802302,166.7388607988,30.205
801218,340.7377887186,63.4446
800912,278.0536743921,40.0851
801301,1100.8476660001,22.8655
802301,385.5639562532,35.7096
800913,1047.2952721823,74.595
800606,231.9507766437,32.8162
800903,243.4458125007,27.3821
800601,189.0276346331,30.3461
801306,280.8287452465,22.8655
801305,970.9522773173,76.7122
800605,230.1500575164,31.5459
800902,229.6817655309,57.1637
800610,248.2532044601,37.8268
802303,670.4295576486,56.5285
800901,82.5226930391,16.0905
800904,417.2589497137,34.7922
800604,89.3190045963,7.3395
800607,300.1972785853,26.4647
801608,254.2963835608,36.2742
801611,434.3741699649,77.3474
800603,185.4754757272,13.1265
801304,277.4816538446,19.2663
800905,719.3114399389,62.4566
801904,666.6366266434,58.5045
801701,1429.843845212,89.133
800909,719.9334344198,48.6244
800611,645.087947056,33.0279
801903,248.2229700783,20.1131
801607,107.6048529733,19.972
800612,380.9719185552,43.402
800613,434.0323537835,39.8734
801906,401.153198315,14.9614
800706,744.3264157521,59.1397
801606,158.2122221688,34.2982
801601,445.907817432,39.0265
800907,800.6538898473,63.1623
801902,178.6384652512,10.0919
801702,1512.033630448,79.6057
801603,463.4957683185,65.1383
801703,686.2621320042,56.5285
801905,535.8926691641,35.0039
800910,1005.2884112563,24.9121
800908,748.047772507,47.9187
800701,652.1232088832,74.1716
801901,71.7235392499,6.6338
800709,358.0084102058,48.2715
800704,1614.9990394164,53.9879
801604,756.7851831106,11.7856
801605,412.5476532515,29.4287
800703,248.0586584514,33.3808
801704,655.5348876365,42.2023
801602,99.2188665863,21.7363
800710,484.9322060992,25.0532
801610,231.5365498868,21.5952
800705,1140.2166212744,33.5925
800702,199.7836379482,28.0878
800708,382.810375058,31.687
801609,622.8534017402,42.1317
800711,473.3860683624,42.2729
800707,544.0639500927,47.4247
801503,544.2970187022,6.2809
801502,1519.8725004345,127.3832
801501,778.2935431366,84.8986
801409,693.0726104039,70.2901
801406,1202.5820570311,24.8415
801401,363.2635737305,66.3381
801402,513.7944287256,80.4525
801408,1141.0532508365,29.6404
801403,751.4696835376,35.6391
801404,369.1548100049,64.5032
802102,3905.9708057577,41.3554
801407,768.3529009462,38.5325
800802,378.2868958509,60.6923
801405,480.813675819,48.201
800811,736.8159534913,43.6843
802101,1164.4380631923,22.8655
800806,467.5107662953,60.7628
800803,602.4759956839,77.4179
802103,479.4396609625,51.165
800502,1094.6070592089,32.6045
800503,1795.3818349332,27.735
802104,1044.7506284704,52.7176
800801,302.7592474398,61.6097
800809,278.8740825388,62.6683
800813,194.2753337744,29.4993
800409,596.7832572942,29.0758
800804,238.2437923448,31.5459
