addrcode,subdistrict_th,subdistrict_en,district_code,district_th,district_en,province_code,province_th,province_en,LAT,LONG,Population
100101,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.751,100.492,4089
100102,วังบูรพาภิรมย์,Wang Burapha Phirom,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.744,100.499,11586
100103,วัดราชบพิธ,Wat Ratchabophit,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.75,100.499,3402
100104,สำราญราษฎร์,Samran Rat,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.751,100.503,3431
100105,ศาลเจ้าพ่อเสือ,San Chaopho Suea,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.754,100.497,3280
100106,เสาชิงช้า,Sao Chingcha,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.753,100.5,2360
100107,บวรนิเวศ,Bowon Niwet,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.757,100.501,5079
100108,ตลาดยอด,Talat Yot,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.76,100.498,2578
100109,ชนะสงคราม,Chana Songkhram,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.762,100.495,2021
100110,บ้านพานถม,Ban Phan Thom,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.762,100.503,6980
100111,บางขุนพรหม,Bang Khun Phrom,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.765,100.505,4732
100112,วัดสามพระยา,Wat Sam Phraya,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.768,100.499,2984
100201,ดุสิต,Dusit,1002,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok,13.772,100.513,13954
100202,วชิรพยาบาล,Wachira Phayaban,1002,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok,13.778,100.505,11600
100203,สวนจิตรลดา,Suan Chit Lada,1002,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok,13.767,100.52,9438
100204,สี่แยกมหานาค,Si Yaek Maha Nak,1002,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok,13.758,100.517,7585
100206,ถนนนครไชยศรี,,1002,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok,13.789,100.522,55873
100301,กระทุ่มราย,,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.823,100.897,37469
100302,หนองจอก,,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.869,100.885,20528
100303,คลองสิบ,,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.914,100.82,8823
100304,คลองสิบสอง,,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.914,100.88,10864
100305,โคกแฝด,,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.84,100.836,33455
100306,คู้ฝั่งเหนือ,,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.872,100.81,17434
100307,ลำผักชี,,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.797,100.844,29912
100308,ลำต้อยติ่ง,,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,13.781,100.877,9359
100401,มหาพฤฒาราม,,1004,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.734,100.52,11944
100402,สีลม,,1004,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.73,100.525,16245
100403,สุริยวงศ์,,1004,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.724,100.53,5345
100404,บางรัก,,1004,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.727,100.527,2902
100405,สี่พระยา,,1004,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.725,100.514,10872
100502,อนุสาวรีย์,,1005,บางเขน,Bang Khen,10,กรุงเทพมหานคร,Bangkok,13.868,100.606,95915
100508,ท่าแร้ง,,1005,บางเขน,Bang Khen,10,กรุงเทพมหานคร,Bangkok,13.866,100.65,94913
100601,คลองจั่น,,1006,บางกะปิ,Bang Kapi,10,กรุงเทพมหานคร,Bangkok,13.786,100.635,80437
100608,หัวหมาก,,1006,บางกะปิ,Bang Kapi,10,กรุงเทพมหานคร,Bangkok,13.756,100.66,67955
100701,รองเมือง,,1007,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok,13.744,100.52,17655
100702,วังใหม่,,1007,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok,13.742,100.526,7623
100703,ปทุมวัน,,1007,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok,13.74,100.535,6059
100704,ลุมพินี,,1007,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok,13.736,100.546,18257
100801,ป้อมปราบ,,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.743,100.514,15934
100802,วัดเทพศิรินทร์,,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.749,100.512,7294
100803,คลองมหานาค,,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.753,100.513,9807
100804,บ้านบาตร,,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.752,100.507,7189
100805,วัดโสมนัส,,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.759,100.511,7226
100905,บางจาก,,1009,พระโขนง,Phra Khanong,10,กรุงเทพมหานคร,Bangkok,13.692,100.626,91305
101001,มีนบุรี,,1010,มีนบุรี,Min Buri,10,กรุงเทพมหานคร,Bangkok,13.804,100.723,96899
101002,แสนแสบ,,1010,มีนบุรี,Min Buri,10,กรุงเทพมหานคร,Bangkok,13.812,100.774,44315
101101,ลาดกระบัง,,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.723,100.771,29474
101102,คลองสองต้นนุ่น,,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.753,100.723,66991
101103,คลองสามประเวศ,,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.753,100.754,15483
101104,ลำปลาทิว,,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.765,100.817,23696
101105,ทับยาว,,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.728,100.815,28320
101106,ขุมทอง,,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,13.736,100.855,7969
101203,ช่องนนทรี,,1012,ยานนาวา,Yannawa,10,กรุงเทพมหานคร,Bangkok,13.682,100.533,48997
101204,บางโพงพาง,,1012,ยานนาวา,Yannawa,10,กรุงเทพมหานคร,Bangkok,13.697,100.544,30577
101301,จักรวรรดิ,,1013,สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok,13.741,100.504,7680
101302,สัมพันธวงศ์,,1013,สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok,13.739,100.511,9201
101303,ตลาดน้อย,,1013,สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok,13.734,100.513,7904
101401,สามเสนใน,,1014,พญาไท,Phaya Thai,10,กรุงเทพมหานคร,Bangkok,13.782,100.545,72102
101501,วัดกัลยาณ์,,1015,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.737,100.493,9340
101502,หิรัญรูจี,,1015,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.731,100.49,12693
101503,บางยี่เรือ,,1015,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.72,100.482,21903
101504,บุคคโล,,1015,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.707,100.486,17072
101505,ตลาดพลู,,1015,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.715,100.473,16408
101506,ดาวคะนอง,,1015,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,,,17647
101507,สำเหร่,,1015,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,,,15964
101601,วัดอรุณ,,1016,บางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,Bangkok,13.743,100.486,13921
101602,วัดท่าพระ,,1016,บางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,Bangkok,13.733,100.475,53966
101701,ห้วยขวาง,,1017,ห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,Bangkok,13.769,100.577,25184
101702,บางกะปิ,,1017,ห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,Bangkok,13.752,100.586,17056
101704,สามเสนนอก,,1017,ห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,Bangkok,13.796,100.579,38950
101801,สมเด็จเจ้าพระยา,,1018,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok,13.731,100.497,13667
101802,คลองสาน,,1018,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok,13.735,100.504,16008
101803,บางลำภูล่าง,,1018,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok,13.715,100.501,25128
101804,คลองต้นไทร,,1018,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok,13.725,100.508,19068
101901,คลองชักพระ,,1019,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,13.76,100.456,10660
101902,ตลิ่งชัน,,1019,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,13.789,100.459,25132
101903,ฉิมพลี,,1019,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,13.786,100.432,24503
101904,บางพรม,,1019,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,13.752,100.442,13845
101905,บางระมาด,,1019,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,13.767,100.431,19436
101907,บางเชือกหนัง,,1019,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,13.751,100.419,11713
102004,ศิริราช,,1020,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.759,100.481,16652
102005,บ้านช่างหล่อ,,1020,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.752,100.477,32419
102006,บางขุนนนท์,,1020,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.774,100.466,9511
102007,บางขุนศรี,,1020,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.76,100.463,33291
102009,อรุณอมรินทร์,,1020,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.772,100.477,20708
102105,ท่าข้าม,,1021,บางขุนเทียน,Bang Khun Thian,10,กรุงเทพมหานคร,Bangkok,13.555,100.434,57030
102107,แสมดำ,,1021,บางขุนเทียน,Bang Khun Thian,10,กรุงเทพมหานคร,Bangkok,13.605,100.395,122738
102201,บางหว้า,,1022,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.714,100.443,37977
102202,บางด้วน,,1022,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.723,100.437,29557
102206,บางจาก,,1022,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.727,100.45,8199
102207,บางแวก,,1022,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.736,100.445,19009
102208,คลองขวาง,,1022,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.738,100.423,11240
102209,ปากคลองภาษีเจริญ,,1022,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.722,100.464,15083
102210,คูหาสวรรค์,,1022,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.727,100.457,6517
102302,หนองแขม,,1023,หนองแขม,Nong Khaem,10,กรุงเทพมหานคร,Bangkok,13.68,100.358,78841
102303,หนองค้างพลู,,1023,หนองแขม,Nong Khaem,10,กรุงเทพมหานคร,Bangkok,13.714,100.351,76388
102401,ราษฎร์บูรณะ,,1024,ราษฎร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,Bangkok,13.67,100.51,33420
102402,บางปะกอก,,1024,ราษฎร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,Bangkok,13.675,100.491,49828
102501,บางพลัด,,1025,บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok,13.791,100.487,24138
