addrcode,land_area,image_area
100508,212.97,194.85
104605,161.16,40.51
104604,98.9,28.09
103704,22.99,45.38
100108,1.75,2.68
102005,21.41,17.64
100101,14.11,16.16
103701,23.14,28.02
100112,4.69,5.08
100110,3.82,7.13
103702,11.38,19.69
100109,3.15,3.81
102004,13.08,11.15
101702,56.76,92.31
100805,4.24,7.62
104601,268.08,72.41
104203,111.23,84.12
104202,140.66,41.99
104101,155.78,185.11
100302,284.26,50.81
100502,167.57,161.75
100306,165.7,34.16
104102,54.86,89.84
100111,4.18,5.36
100107,4.55,7.41
101904,47.51,33.8
101907,39.12,18.21
104603,186.92,125.69
103703,9.07,14.89
100301,371.49,70.22
100305,203.27,50.95
103001,99.22,161.89
103002,26.3,29.64
104302,117.33,155.89
101002,336.68,69.66
103802,58.87,72.05
102902,59.84,77.98
100303,286.75,36.91
103604,99.34,118.07
101601,8.15,5.29
100801,5.76,10.16
102208,25.04,17.08
103902,67.6,80.66
101302,4.62,6.07
104502,15.9,33.03
104802,295.04,159.71
101104,305.59,141.85
102601,78.63,131.55
104503,33.55,9.74
101903,84.64,25.62
101602,50.34,32.46
100307,309.06,36.84
103004,51.6,57.94
102702,43.67,48.62
100308,228.96,1.62
102901,59.86,6.07
101801,8.48,9.17
103201,227.55,182.99
100401,5.95,11.5
100204,3.3,4.59
103605,133.73,81.51
103602,107.93,102.75
100304,383.87,63.44
104201,153.38,101.62
100203,17.47,16.51
100608,146.91,169.94
101105,258.47,87.09
102007,36.72,29.5
101106,215.2,29.43
100405,7.15,11.43
101101,101.8,2.54
100404,4.47,5.22
104002,120.78,14.4
102703,79.64,93.51
103801,138.68,200.07
101001,230.98,180.1
103003,54.48,93.51
103005,71.79,112.0
100601,109.29,154.06
102701,94.09,100.0
102502,28.77,15.24
101704,49.88,67.26
102303,156.35,100.14
101802,9.72,7.97
101502,6.04,4.45
102206,13.57,7.48
103302,18.05,22.37
100702,12.41,20.18
100703,19.53,25.12
100704,31.16,46.79
103901,20.25,23.36
100102,6.62,9.67
102209,16.62,14.54
100403,5.62,12.21
104501,45.64,81.72
102202,30.9,18.42
100402,14.07,23.43
100206,52.17,3.67
101902,58.03,68.95
104401,260.65,205.72
102501,30.91,48.77
101401,85.59,137.12
103102,15.42,8.82
103203,151.65,103.46
101701,44.92,48.91
102503,22.1,23.01
102105,677.63,93.23
101506,15.98,18.35
104001,64.66,58.01
104004,112.34,25.83
103501,58.42,30.63
100905,126.07,16.73
103103,42.33,40.86
102210,7.11,4.66
102207,27.1,20.04
100104,2.15,3.11
103301,69.55,44.53
102009,28.02,36.77
100202,10.33,7.83
102504,27.88,26.32
101103,163.3,88.07
100201,21.97,20.11
101901,11.54,4.66
101905,91.4,35.92
101102,149.9,16.66
102006,15.24,6.92
104801,185.52,68.24
100701,11.5,19.62
104003,146.97,75.87
100802,4.1,7.48
100103,1.97,3.32
103401,223.91,252.01
101501,6.97,8.33
101303,3.69,3.81
102107,456.7,183.21
102802,16.72,18.42
101507,13.27,10.09
101803,21.21,14.4
101301,4.62,5.65
102801,23.05,33.73
100803,5.41,8.54
100105,1.39,3.46
100804,3.74,6.07
100106,1.43,1.83
103903,32.84,43.05
103303,35.34,36.91
102201,57.8,38.96
101505,13.94,13.83
103101,19.43,12.35
103202,119.62,1.27
103504,48.61,33.87
