TB_IDN,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05
100101,34.39,36.77,39.61,37.45,40.71,40.61,35.39,39.49,39.01,35.93,34.05,34.07,36.05,36.27,39.27,42.51,40.17,38.67,41.99,40.33,36.89,34.95,34.75,33.45,33.85,36.71,38.73,39.97,0.00,39.15,42.01,42.93,36.93,36.51,34.95,34.41,36.25,37.81,40.87,38.51,37.99,39.93,40.57,37.23,35.99,34.43,33.31,33.07,34.85,36.11,38.01,38.39,35.83
100102,33.73,36.31,40.53,41.17,40.93,41.45,40.17,39.75,41.03,36.37,34.21,34.19,36.15,36.17,39.19,43.31,42.09,40.51,41.95,40.69,37.09,36.31,34.65,33.55,33.85,36.65,38.63,40.73,0.00,39.41,41.65,42.03,37.33,36.81,34.73,33.59,36.03,37.61,40.73,35.49,39.77,39.51,40.01,38.97,36.05,34.77,33.61,32.79,34.53,36.13,38.25,40.15,38.13
100103,33.73,36.31,40.53,41.17,40.93,41.45,40.17,39.75,41.03,36.37,34.21,34.19,36.15,36.17,39.19,43.31,42.09,40.51,41.95,40.69,37.09,36.31,34.65,33.55,33.85,36.65,38.63,40.73,0.00,39.41,41.65,42.03,37.33,36.81,34.73,33.59,36.03,37.61,40.73,35.49,39.77,39.51,40.01,38.97,36.05,34.77,33.61,32.79,34.53,36.13,38.25,40.15,38.13
100104,34.41,37.05,40.01,38.33,41.25,40.71,33.49,39.49,39.71,36.25,34.11,34.31,36.11,36.49,39.41,42.59,40.11,38.69,42.57,40.65,37.01,34.89,34.59,33.67,33.05,36.05,38.75,39.99,0.00,39.05,41.83,41.49,36.93,36.65,35.07,34.67,36.17,37.83,39.63,37.21,39.51,40.01,40.33,36.95,36.13,35.61,33.27,32.93,35.09,36.05,38.53,39.19,37.03
100105,34.39,36.77,39.61,37.45,40.71,40.61,35.39,39.49,39.01,35.93,34.05,34.07,36.05,36.27,39.27,42.51,40.17,38.67,41.99,40.33,36.89,34.95,34.75,33.45,33.85,36.71,38.73,39.97,0.00,39.15,42.01,42.93,36.93,36.51,34.95,34.41,36.25,37.81,40.87,38.51,37.99,39.93,40.57,37.23,35.99,34.43,33.31,33.07,34.85,36.11,38.01,38.39,35.83
100106,34.41,37.05,40.01,38.33,41.25,40.71,33.49,39.49,39.71,36.25,34.11,34.31,36.11,36.49,39.41,42.59,40.11,38.69,42.57,40.65,37.01,34.89,34.59,33.67,33.05,36.05,38.75,39.99,0.00,39.05,41.83,41.49,36.93,36.65,35.07,34.67,36.17,37.83,39.63,37.21,39.51,40.01,40.33,36.95,36.13,35.61,33.27,32.93,35.09,36.05,38.53,39.19,37.03
100107,34.41,37.05,40.01,38.33,41.25,40.71,33.49,39.49,39.71,36.25,34.11,34.31,36.11,36.49,39.41,42.59,40.11,38.69,42.57,40.65,37.01,34.89,34.59,33.67,33.05,36.05,38.75,39.99,0.00,39.05,41.83,41.49,36.93,36.65,35.07,34.67,36.17,37.83,39.63,37.21,39.51,40.01,40.33,36.95,36.13,35.61,33.27,32.93,35.09,36.05,38.53,39.19,37.03
100108,34.39,36.77,39.61,37.45,40.71,40.61,35.39,39.49,39.01,35.93,34.05,34.07,36.05,36.27,39.27,42.51,40.17,38.67,41.99,40.33,36.89,34.95,34.75,33.45,33.85,36.71,38.73,39.97,0.00,39.15,42.01,42.93,36.93,36.51,34.95,34.41,36.25,37.81,40.87,38.51,37.99,39.93,40.57,37.23,35.99,34.43,33.31,33.07,34.85,36.11,38.01,38.39,35.83
100109,34.39,36.77,39.61,37.45,40.71,40.61,35.39,39.49,39.01,35.93,34.05,34.07,36.05,36.27,39.27,42.51,40.17,38.67,41.99,40.33,36.89,34.95,34.75,33.45,33.85,36.71,38.73,39.97,0.00,39.15,42.01,42.93,36.93,36.51,34.95,34.41,36.25,37.81,40.87,38.51,37.99,39.93,40.57,37.23,35.99,34.43,33.31,33.07,34.85,36.11,38.01,38.39,35.83
100110,34.41,37.05,40.01,38.33,41.25,40.71,33.49,39.49,39.71,36.25,34.11,34.31,36.11,36.49,39.41,42.59,40.11,38.69,42.57,40.65,37.01,34.89,34.59,33.67,33.05,36.05,38.75,39.99,0.00,39.05,41.83,41.49,36.93,36.65,35.07,34.67,36.17,37.83,39.63,37.21,39.51,40.01,40.33,36.95,36.13,35.61,33.27,32.93,35.09,36.05,38.53,39.19,37.03
