TB_IDN,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06
100101,7.23,47.91,142.65,123.27,109.71,200.46,215.00,180.21,55.71,16.48,7.74,35.99,131.60,79.82,46.95,226.90,121.55,94.83,320.44,267.26,32.88,33.81,62.51,0.58,21.08,16.62,104.44,302.44,222.10,189.42,352.77,338.90,81.16,3.33,50.37,0.00,97.72,37.17,399.99,178.78,222.84,265.97,273.15,303.49,48.67,33.07,86.45,72.64,73.93,200.21,145.02,47.91
100102,7.23,47.91,142.65,123.27,109.71,200.46,215.00,180.21,55.71,16.48,7.74,35.99,131.60,79.82,46.95,226.90,121.55,94.83,320.44,267.26,32.88,33.81,62.51,0.58,21.08,16.62,104.44,302.44,222.10,189.42,352.77,338.90,81.16,3.33,50.37,0.00,97.72,37.17,399.99,178.78,222.84,265.97,273.15,303.49,48.67,33.07,86.45,72.64,73.93,200.21,145.02,47.91
100103,7.23,47.91,142.65,123.27,109.71,200.46,215.00,180.21,55.71,16.48,7.74,35.99,131.60,79.82,46.95,226.90,121.55,94.83,320.44,267.26,32.88,33.81,62.51,0.58,21.08,16.62,104.44,302.44,222.10,189.42,352.77,338.90,81.16,3.33,50.37,0.00,97.72,37.17,399.99,178.78,222.84,265.97,273.15,303.49,48.67,33.07,86.45,72.64,73.93,200.21,145.02,47.91
100104,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100105,7.23,47.91,142.65,123.27,109.71,200.46,215.00,180.21,55.71,16.48,7.74,35.99,131.60,79.82,46.95,226.90,121.55,94.83,320.44,267.26,32.88,33.81,62.51,0.58,21.08,16.62,104.44,302.44,222.10,189.42,352.77,338.90,81.16,3.33,50.37,0.00,97.72,37.17,399.99,178.78,222.84,265.97,273.15,303.49,48.67,33.07,86.45,72.64,73.93,200.21,145.02,47.91
100106,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100107,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100108,7.23,47.91,142.65,123.27,109.71,200.46,215.00,180.21,55.71,16.48,7.74,35.99,131.60,79.82,46.95,226.90,121.55,94.83,320.44,267.26,32.88,33.81,62.51,0.58,21.08,16.62,104.44,302.44,222.10,189.42,352.77,338.90,81.16,3.33,50.37,0.00,97.72,37.17,399.99,178.78,222.84,265.97,273.15,303.49,48.67,33.07,86.45,72.64,73.93,200.21,145.02,47.91
100109,7.23,47.91,142.65,123.27,109.71,200.46,215.00,180.21,55.71,16.48,7.74,35.99,131.60,79.82,46.95,226.90,121.55,94.83,320.44,267.26,32.88,33.81,62.51,0.58,21.08,16.62,104.44,302.44,222.10,189.42,352.77,338.90,81.16,3.33,50.37,0.00,97.72,37.17,399.99,178.78,222.84,265.97,273.15,303.49,48.67,33.07,86.45,72.64,73.93,200.21,145.02,47.91
100110,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100111,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100112,7.23,47.91,142.65,123.27,109.71,200.46,215.00,180.21,55.71,16.48,7.74,35.99,131.60,79.82,46.95,226.90,121.55,94.83,320.44,267.26,32.88,33.81,62.51,0.58,21.08,16.62,104.44,302.44,222.10,189.42,352.77,338.90,81.16,3.33,50.37,0.00,97.72,37.17,399.99,178.78,222.84,265.97,273.15,303.49,48.67,33.07,86.45,72.64,73.93,200.21,145.02,47.91
100201,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100202,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100203,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100204,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100205,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100301,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100302,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100303,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100401,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100402,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100403,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100404,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100501,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100502,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100503,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100504,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100505,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100601,23.92,34.40,104.56,138.01,137.72,215.53,208.87,195.69,61.38,13.39,5.31,11.78,134.50,77.73,41.79,284.68,126.03,110.65,387.72,247.24,45.19,39.31,51.84,0.44,24.99,18.10,112.41,339.02,205.50,282.82,367.24,345.75,119.79,2.03,45.08,0.26,75.07,30.37,389.51,207.68,247.49,272.94,301.78,422.91,55.34,61.39,86.20,48.94,68.44,198.36,143.68,53.76
100602,23.92,34.40,104.56,138.01,137.72,215.53,208.87,195.69,61.38,13.39,5.31,11.78,134.50,77.73,41.79,284.68,126.03,110.65,387.72,247.24,45.19,39.31,51.84,0.44,24.99,18.10,112.41,339.02,205.50,282.82,367.24,345.75,119.79,2.03,45.08,0.26,75.07,30.37,389.51,207.68,247.49,272.94,301.78,422.91,55.34,61.39,86.20,48.94,68.44,198.36,143.68,53.76
100701,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100702,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100703,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100801,8.10,32.13,134.89,111.05,109.61,280.15,181.27,203.34,68.24,17.29,7.14,18.92,131.50,82.60,35.22,236.69,119.64,94.99,335.97,245.49,32.86,35.26,69.34,0.42,28.07,16.33,103.79,316.71,204.34,236.00,347.00,336.53,94.91,2.81,52.44,0.03,79.12,36.45,373.67,184.20,219.61,258.61,284.59,353.74,55.23,36.48,266.92,41.06,75.97,196.27,142.52,44.79
100802,23.92,34.40,104.56,138.01,137.72,215.53,208.87,195.69,61.38,13.39,5.31,11.78,134.50,77.73,41.79,284.68,126.03,110.65,387.72,247.24,45.19,39.31,51.84,0.44,24.99,18.10,112.41,339.02,205.50,282.82,367.24,345.75,119.79,2.03,45.08,0.26,75.07,30.37,389.51,207.68,247.49,272.94,301.78,422.91,55.34,61.39,86.20,48.94,68.44,198.36,143.68,53.76
100803,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
100901,22.75,39.39,117.19,120.51,119.40,234.14,214.93,182.95,44.96,10.87,5.97,8.16,102.90,65.51,43.84,237.35,121.57,106.23,330.64,245.77,28.93,23.97,41.40,0.51,25.56,18.86,106.31,327.49,226.23,244.72,380.62,311.73,89.56,1.57,43.12,0.25,84.06,34.96,379.72,214.32,238.71,269.28,286.78,331.44,41.83,37.90,85.27,65.80,59.56,206.16,147.47,52.53
