addrcode,date,rainfall_sum,rainfall_avg
100101,2014-03-01,7.23,7.23
100101,2014-04-01,47.91,47.91
100101,2014-05-01,142.65,142.65
100101,2014-06-01,123.27,123.27
100101,2014-07-01,109.71,109.71
100101,2014-08-01,200.46,200.46
100101,2014-09-01,215.0,215.0
100101,2014-10-01,180.21,180.21
100101,2014-11-01,55.71,55.71
100101,2014-12-01,16.48,16.48
100101,2015-01-01,7.74,7.74
100101,2015-02-01,35.99,35.99
100101,2015-03-01,131.6,131.6
100101,2015-04-01,79.82,79.82
100101,2015-05-01,46.95,46.95
100101,2015-06-01,226.9,226.9
100101,2015-07-01,121.55,121.55
100101,2015-08-01,94.83,94.83
100101,2015-09-01,320.44,320.44
100101,2015-10-01,267.26,267.26
100101,2015-11-01,32.88,32.88
100101,2015-12-01,33.81,33.81
100101,2016-01-01,62.51,62.51
100101,2016-02-01,0.58,0.58
100101,2016-03-01,21.08,21.08
100101,2016-04-01,16.62,16.62
100101,2016-05-01,104.44,104.44
100101,2016-06-01,302.44,302.44
100101,2016-07-01,222.1,222.1
100101,2016-08-01,189.42,189.42
100101,2016-09-01,352.77,352.77
100101,2016-10-01,338.9,338.9
100101,2016-11-01,81.16,81.16
100101,2016-12-01,3.33,3.33
100101,2017-01-01,50.37,50.37
100101,2017-02-01,0.0,0.0
100101,2017-03-01,97.72,97.72
100101,2017-04-01,37.17,37.17
100101,2017-05-01,399.99,399.99
100101,2017-06-01,178.78,178.78
100101,2017-07-01,222.84,222.84
100101,2017-08-01,265.97,265.97
100101,2017-09-01,273.15,273.15
100101,2017-10-01,303.49,303.49
100101,2017-11-01,48.67,48.67
100101,2017-12-01,33.07,33.07
100101,2018-01-01,86.45,86.45
100101,2018-02-01,72.64,72.64
100101,2018-03-01,73.93,73.93
100101,2018-04-01,200.21,200.21
100101,2018-05-01,145.02,145.02
100101,2018-06-01,47.91,47.91
100102,2014-03-01,7.23,7.23
100102,2014-04-01,47.91,47.91
100102,2014-05-01,142.65,142.65
100102,2014-06-01,123.27,123.27
100102,2014-07-01,109.71,109.71
100102,2014-08-01,200.46,200.46
100102,2014-09-01,215.0,215.0
100102,2014-10-01,180.21,180.21
