addrcode,date,temperature
100101,2014-01-01,34.39
100101,2014-02-01,36.77
100101,2014-03-01,39.61
100101,2014-04-01,37.45
100101,2014-05-01,40.71
100101,2014-06-01,40.61
100101,2014-07-01,35.39
100101,2014-08-01,39.49
100101,2014-09-01,39.01
100101,2014-10-01,35.93
100101,2014-11-01,34.05
100101,2014-12-01,34.07
100101,2015-01-01,36.05
100101,2015-02-01,36.27
100101,2015-03-01,39.27
100101,2015-04-01,42.51
100101,2015-05-01,40.17
100101,2015-06-01,38.67
100101,2015-07-01,41.99
100101,2015-08-01,40.33
100101,2015-09-01,36.89
100101,2015-10-01,34.95
100101,2015-11-01,34.75
100101,2015-12-01,33.45
100101,2016-01-01,33.85
100101,2016-02-01,36.71
100101,2016-03-01,38.73
100101,2016-04-01,39.97
100101,2016-05-01,0.0
100101,2016-06-01,39.15
100101,2016-07-01,42.01
100101,2016-08-01,42.93
100101,2016-09-01,36.93
100101,2016-10-01,36.51
100101,2016-11-01,34.95
100101,2016-12-01,34.41
100101,2017-01-01,36.25
100101,2017-02-01,37.81
100101,2017-03-01,40.87
100101,2017-04-01,38.51
100101,2017-05-01,37.99
100101,2017-06-01,39.93
100101,2017-07-01,40.57
100101,2017-08-01,37.23
100101,2017-09-01,35.99
100101,2017-10-01,34.43
100101,2017-11-01,33.31
100101,2017-12-01,33.07
100101,2018-01-01,34.85
100101,2018-02-01,36.11
100101,2018-03-01,38.01
100101,2018-04-01,38.39
100101,2018-05-01,35.83
100102,2014-01-01,33.73
100102,2014-02-01,36.31
100102,2014-03-01,40.53
100102,2014-04-01,41.17
100102,2014-05-01,40.93
100102,2014-06-01,41.45
100102,2014-07-01,40.17
100102,2014-08-01,39.75
100102,2014-09-01,41.03
100102,2014-10-01,36.37
100102,2014-11-01,34.21
100102,2014-12-01,34.19
100102,2015-01-01,36.15
100102,2015-02-01,36.17
100102,2015-03-01,39.19
100102,2015-04-01,43.31
100102,2015-05-01,42.09
100102,2015-06-01,40.51
100102,2015-07-01,41.95
100102,2015-08-01,40.69
100102,2015-09-01,37.09
100102,2015-10-01,36.31
100102,2015-11-01,34.65
100102,2015-12-01,33.55
100102,2016-01-01,33.85
100102,2016-02-01,36.65
100102,2016-03-01,38.63
100102,2016-04-01,40.73
100102,2016-05-01,0.0
100102,2016-06-01,39.41
100102,2016-07-01,41.65
100102,2016-08-01,42.03
100102,2016-09-01,37.33
100102,2016-10-01,36.81
100102,2016-11-01,34.73
100102,2016-12-01,33.59
100102,2017-01-01,36.03
100102,2017-02-01,37.61
100102,2017-03-01,40.73
100102,2017-04-01,35.49
100102,2017-05-01,39.77
100102,2017-06-01,39.51
100102,2017-07-01,40.01
100102,2017-08-01,38.97
100102,2017-09-01,36.05
100102,2017-10-01,34.77
100102,2017-11-01,33.61
100102,2017-12-01,32.79
100102,2018-01-01,34.53
100102,2018-02-01,36.13
100102,2018-03-01,38.25
100102,2018-04-01,40.15
100102,2018-05-01,38.13
100103,2014-01-01,33.73
100103,2014-02-01,36.31
100103,2014-03-01,40.53
100103,2014-04-01,41.17
100103,2014-05-01,40.93
100103,2014-06-01,41.45
100103,2014-07-01,40.17
100103,2014-08-01,39.75
100103,2014-09-01,41.03
100103,2014-10-01,36.37
100103,2014-11-01,34.21
100103,2014-12-01,34.19
100103,2015-01-01,36.15
100103,2015-02-01,36.17
100103,2015-03-01,39.19
100103,2015-04-01,43.31
100103,2015-05-01,42.09
100103,2015-06-01,40.51
100103,2015-07-01,41.95
100103,2015-08-01,40.69
100103,2015-09-01,37.09
100103,2015-10-01,36.31
100103,2015-11-01,34.65
100103,2015-12-01,33.55
100103,2016-01-01,33.85
100103,2016-02-01,36.65
100103,2016-03-01,38.63
100103,2016-04-01,40.73
100103,2016-05-01,0.0
100103,2016-06-01,39.41
100103,2016-07-01,41.65
100103,2016-08-01,42.03
100103,2016-09-01,37.33
100103,2016-10-01,36.81
100103,2016-11-01,34.73
100103,2016-12-01,33.59
100103,2017-01-01,36.03
100103,2017-02-01,37.61
100103,2017-03-01,40.73
100103,2017-04-01,35.49
100103,2017-05-01,39.77
100103,2017-06-01,39.51
100103,2017-07-01,40.01
100103,2017-08-01,38.97
100103,2017-09-01,36.05
100103,2017-10-01,34.77
100103,2017-11-01,33.61
100103,2017-12-01,32.79
100103,2018-01-01,34.53
100103,2018-02-01,36.13
100103,2018-03-01,38.25
100103,2018-04-01,40.15
100103,2018-05-01,38.13
100104,2014-01-01,34.41
100104,2014-02-01,37.05
100104,2014-03-01,40.01
100104,2014-04-01,38.33
100104,2014-05-01,41.25
100104,2014-06-01,40.71
100104,2014-07-01,33.49
100104,2014-08-01,39.49
100104,2014-09-01,39.71
100104,2014-10-01,36.25
100104,2014-11-01,34.11
100104,2014-12-01,34.31
100104,2015-01-01,36.11
100104,2015-02-01,36.49
100104,2015-03-01,39.41
100104,2015-04-01,42.59
100104,2015-05-01,40.11
100104,2015-06-01,38.69
100104,2015-07-01,42.57
100104,2015-08-01,40.65
100104,2015-09-01,37.01
100104,2015-10-01,34.89
100104,2015-11-01,34.59
100104,2015-12-01,33.67
100104,2016-01-01,33.05
100104,2016-02-01,36.05
100104,2016-03-01,38.75
100104,2016-04-01,39.99
100104,2016-05-01,0.0
100104,2016-06-01,39.05
100104,2016-07-01,41.83
100104,2016-08-01,41.49
100104,2016-09-01,36.93
100104,2016-10-01,36.65
100104,2016-11-01,35.07
100104,2016-12-01,34.67
100104,2017-01-01,36.17
100104,2017-02-01,37.83
100104,2017-03-01,39.63
100104,2017-04-01,37.21
100104,2017-05-01,39.51
100104,2017-06-01,40.01
100104,2017-07-01,40.33
100104,2017-08-01,36.95
100104,2017-09-01,36.13
100104,2017-10-01,35.61
100104,2017-11-01,33.27
100104,2017-12-01,32.93
100104,2018-01-01,35.09
100104,2018-02-01,36.05
100104,2018-03-01,38.53
100104,2018-04-01,39.19
100104,2018-05-01,37.03
100105,2014-01-01,34.39
100105,2014-02-01,36.77
100105,2014-03-01,39.61
100105,2014-04-01,37.45
100105,2014-05-01,40.71
100105,2014-06-01,40.61
100105,2014-07-01,35.39
100105,2014-08-01,39.49
100105,2014-09-01,39.01
100105,2014-10-01,35.93
100105,2014-11-01,34.05
100105,2014-12-01,34.07
100105,2015-01-01,36.05
100105,2015-02-01,36.27
100105,2015-03-01,39.27
100105,2015-04-01,42.51
100105,2015-05-01,40.17
100105,2015-06-01,38.67
100105,2015-07-01,41.99
100105,2015-08-01,40.33
100105,2015-09-01,36.89
100105,2015-10-01,34.95
100105,2015-11-01,34.75
100105,2015-12-01,33.45
100105,2016-01-01,33.85
100105,2016-02-01,36.71
100105,2016-03-01,38.73
100105,2016-04-01,39.97
100105,2016-05-01,0.0
100105,2016-06-01,39.15
100105,2016-07-01,42.01
100105,2016-08-01,42.93
100105,2016-09-01,36.93
100105,2016-10-01,36.51
100105,2016-11-01,34.95
100105,2016-12-01,34.41
100105,2017-01-01,36.25
100105,2017-02-01,37.81
100105,2017-03-01,40.87
100105,2017-04-01,38.51
100105,2017-05-01,37.99
100105,2017-06-01,39.93
100105,2017-07-01,40.57
100105,2017-08-01,37.23
100105,2017-09-01,35.99
100105,2017-10-01,34.43
100105,2017-11-01,33.31
100105,2017-12-01,33.07
100105,2018-01-01,34.85
100105,2018-02-01,36.11
100105,2018-03-01,38.01
100105,2018-04-01,38.39
100105,2018-05-01,35.83
100106,2014-01-01,34.41
100106,2014-02-01,37.05
100106,2014-03-01,40.01
100106,2014-04-01,38.33
100106,2014-05-01,41.25
100106,2014-06-01,40.71
100106,2014-07-01,33.49
100106,2014-08-01,39.49
100106,2014-09-01,39.71
100106,2014-10-01,36.25
100106,2014-11-01,34.11
100106,2014-12-01,34.31
100106,2015-01-01,36.11
100106,2015-02-01,36.49
100106,2015-03-01,39.41
100106,2015-04-01,42.59
100106,2015-05-01,40.11
100106,2015-06-01,38.69
100106,2015-07-01,42.57
100106,2015-08-01,40.65
100106,2015-09-01,37.01
100106,2015-10-01,34.89
100106,2015-11-01,34.59
100106,2015-12-01,33.67
100106,2016-01-01,33.05
100106,2016-02-01,36.05
100106,2016-03-01,38.75
100106,2016-04-01,39.99
100106,2016-05-01,0.0
100106,2016-06-01,39.05
100106,2016-07-01,41.83
100106,2016-08-01,41.49
100106,2016-09-01,36.93
100106,2016-10-01,36.65
100106,2016-11-01,35.07
100106,2016-12-01,34.67
100106,2017-01-01,36.17
100106,2017-02-01,37.83
100106,2017-03-01,39.63
100106,2017-04-01,37.21
100106,2017-05-01,39.51
100106,2017-06-01,40.01
100106,2017-07-01,40.33
100106,2017-08-01,36.95
100106,2017-09-01,36.13
100106,2017-10-01,35.61
100106,2017-11-01,33.27
100106,2017-12-01,32.93
100106,2018-01-01,35.09
100106,2018-02-01,36.05
100106,2018-03-01,38.53
100106,2018-04-01,39.19
100106,2018-05-01,37.03
100107,2014-01-01,34.41
100107,2014-02-01,37.05
100107,2014-03-01,40.01
100107,2014-04-01,38.33
100107,2014-05-01,41.25
100107,2014-06-01,40.71
100107,2014-07-01,33.49
100107,2014-08-01,39.49
100107,2014-09-01,39.71
100107,2014-10-01,36.25
100107,2014-11-01,34.11
100107,2014-12-01,34.31
100107,2015-01-01,36.11
100107,2015-02-01,36.49
100107,2015-03-01,39.41
100107,2015-04-01,42.59
100107,2015-05-01,40.11
100107,2015-06-01,38.69
100107,2015-07-01,42.57
100107,2015-08-01,40.65
100107,2015-09-01,37.01
100107,2015-10-01,34.89
100107,2015-11-01,34.59
100107,2015-12-01,33.67
100107,2016-01-01,33.05
100107,2016-02-01,36.05
100107,2016-03-01,38.75
100107,2016-04-01,39.99
100107,2016-05-01,0.0
100107,2016-06-01,39.05
100107,2016-07-01,41.83
100107,2016-08-01,41.49
100107,2016-09-01,36.93
100107,2016-10-01,36.65
100107,2016-11-01,35.07
100107,2016-12-01,34.67
100107,2017-01-01,36.17
100107,2017-02-01,37.83
100107,2017-03-01,39.63
100107,2017-04-01,37.21
100107,2017-05-01,39.51
100107,2017-06-01,40.01
100107,2017-07-01,40.33
100107,2017-08-01,36.95
100107,2017-09-01,36.13
100107,2017-10-01,35.61
100107,2017-11-01,33.27
100107,2017-12-01,32.93
100107,2018-01-01,35.09
100107,2018-02-01,36.05
100107,2018-03-01,38.53
100107,2018-04-01,39.19
100107,2018-05-01,37.03
100108,2014-01-01,34.39
100108,2014-02-01,36.77
100108,2014-03-01,39.61
100108,2014-04-01,37.45
100108,2014-05-01,40.71
100108,2014-06-01,40.61
100108,2014-07-01,35.39
100108,2014-08-01,39.49
100108,2014-09-01,39.01
100108,2014-10-01,35.93
100108,2014-11-01,34.05
100108,2014-12-01,34.07
100108,2015-01-01,36.05
100108,2015-02-01,36.27
100108,2015-03-01,39.27
100108,2015-04-01,42.51
100108,2015-05-01,40.17
100108,2015-06-01,38.67
100108,2015-07-01,41.99
100108,2015-08-01,40.33
100108,2015-09-01,36.89
100108,2015-10-01,34.95
100108,2015-11-01,34.75
100108,2015-12-01,33.45
100108,2016-01-01,33.85
100108,2016-02-01,36.71
100108,2016-03-01,38.73
100108,2016-04-01,39.97
100108,2016-05-01,0.0
100108,2016-06-01,39.15
100108,2016-07-01,42.01
100108,2016-08-01,42.93
100108,2016-09-01,36.93
100108,2016-10-01,36.51
100108,2016-11-01,34.95
100108,2016-12-01,34.41
100108,2017-01-01,36.25
100108,2017-02-01,37.81
100108,2017-03-01,40.87
100108,2017-04-01,38.51
100108,2017-05-01,37.99
100108,2017-06-01,39.93
100108,2017-07-01,40.57
100108,2017-08-01,37.23
100108,2017-09-01,35.99
100108,2017-10-01,34.43
100108,2017-11-01,33.31
100108,2017-12-01,33.07
100108,2018-01-01,34.85
100108,2018-02-01,36.11
100108,2018-03-01,38.01
100108,2018-04-01,38.39
100108,2018-05-01,35.83
100109,2014-01-01,34.39
100109,2014-02-01,36.77
100109,2014-03-01,39.61
100109,2014-04-01,37.45
100109,2014-05-01,40.71
100109,2014-06-01,40.61
100109,2014-07-01,35.39
100109,2014-08-01,39.49
100109,2014-09-01,39.01
100109,2014-10-01,35.93
100109,2014-11-01,34.05
100109,2014-12-01,34.07
100109,2015-01-01,36.05
100109,2015-02-01,36.27
100109,2015-03-01,39.27
100109,2015-04-01,42.51
100109,2015-05-01,40.17
100109,2015-06-01,38.67
100109,2015-07-01,41.99
100109,2015-08-01,40.33
100109,2015-09-01,36.89
100109,2015-10-01,34.95
100109,2015-11-01,34.75
100109,2015-12-01,33.45
100109,2016-01-01,33.85
100109,2016-02-01,36.71
100109,2016-03-01,38.73
100109,2016-04-01,39.97
100109,2016-05-01,0.0
100109,2016-06-01,39.15
100109,2016-07-01,42.01
100109,2016-08-01,42.93
100109,2016-09-01,36.93
100109,2016-10-01,36.51
100109,2016-11-01,34.95
100109,2016-12-01,34.41
100109,2017-01-01,36.25
100109,2017-02-01,37.81
100109,2017-03-01,40.87
100109,2017-04-01,38.51
100109,2017-05-01,37.99
100109,2017-06-01,39.93
100109,2017-07-01,40.57
100109,2017-08-01,37.23
100109,2017-09-01,35.99
100109,2017-10-01,34.43
100109,2017-11-01,33.31
100109,2017-12-01,33.07
100109,2018-01-01,34.85
100109,2018-02-01,36.11
