addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
810103,0.2274019329,0.0568504832,3.9653212052,0.0497441728,0.1563388289,2.4232518476,0.4903354179,0.0142126208,7.3834565094,0.1886236369,0.0471559092,3.2891246684,0.0412614206,0.1296787504,2.0100206307,0.4067197171,0.0117889773,6.1243737106,32,8,558,7,22,341,69,2,1039,0.022103569,0.0055258923,0.0048351557,0.3854309851,0.0151962037,0.2355411575,0.0476608207,0.0013814731,0.7176752571,16965,184,108.4585912172,1447.73,140.72,1447.73,11.7183452716,75.1420231535,33.3165680637,0.1814621818
810105,0.0492853622,0,0.9364218827,0.0246426811,0.0739280434,0.394282898,0.394282898,0,1.8728437654,0.0190967249,0,0.3628377733,0.0095483625,0.0286450874,0.1527737993,0.1527737993,0,0.7256755466,2,0,38,1,3,16,16,0,76,0.0018489073,0,0.0009244536,0.0351292386,0.0027733609,0.0147912584,0.0147912584,0,0.0702584772,10473,135,128.9028931538,1081.72,40.58,1081.72,9.6818030544,97.5870365858,31.315856568,0.1382659997
810106,0.3431933322,0.0653701585,2.5004085635,0.0326850793,0.310508253,2.255270469,0.9478672986,0.0163425396,6.4716456937,0.3137137735,0.0597550045,2.2856289214,0.0298775022,0.2838362713,2.0615476546,0.866447565,0.0149387511,5.9157454437,21,4,153,2,19,138,58,1,396,0.0125750009,0.0023952383,0.0011976191,0.0916178637,0.0113773818,0.0826357202,0.0347309549,0.0005988096,0.2371285884,6694,115,171.7956378847,1669.98,61.19,1671.57,4.0084312387,103.7710537776,68.0245841071,0.2468534339
810111,0.3550295858,0.0295857988,2.0118343195,0.0591715976,0.1183431953,0.9171597633,0.798816568,0.0295857988,4.3195266272,0.1222618441,0.010188487,0.6928171167,0.020376974,0.040753948,0.3158430973,0.2750891493,0.010188487,1.4875191034,12,1,68,2,4,31,27,1,146,0.0085870693,0.0007155891,0.0014311782,0.0486600594,0.0028623564,0.0221832624,0.0193209059,0.0007155891,0.1044760099,9815,147,149.7707590423,1397.45,33.8,1397.45,7.0235071022,110.7918360273,38.978923015,0.1495952364
810115,0.3445305771,0.0215331611,3.6821705426,0.0430663221,0.2153316107,2.0887166236,0.8828596038,0.0215331611,7.2997416021,0.1143755808,0.0071484738,1.2223890199,0.0142969476,0.071484738,0.6934019587,0.2930874258,0.0071484738,2.4233326185,16,1,171,2,10,97,41,1,339,0.0246567321,0.0015410458,0.0030820915,0.2635188239,0.0154104575,0.1494814381,0.0631828759,0.0015410458,0.5224145105,13989,205,146.5437129173,648.91,46.44,648.91,21.5576890478,94.3407012052,52.2030117121,0.2167139452
810116,0.100286533,0.0143266476,1.1604584527,0.0429799427,0.0859598854,1.4326647564,0.329512894,0.0286532951,3.1948424069,0.0541837604,0.0077405372,0.6269835127,0.0232216116,0.0464432232,0.7740537193,0.1780323554,0.0154810744,1.7261397941,7,1,81,3,6,100,23,2,223,0.0188602991,0.0026943284,0.0080829853,0.2182406035,0.0161659706,0.2694328439,0.0619695541,0.0053886569,0.6008352418,12919,262,202.802074464,371.15,69.8,371.15,34.8080290987,100.8395451023,101.9625293616,0.3357989248
810117,0.2200778737,0.0338581344,1.9299136618,0.084645336,0.2877941425,2.6070763501,0.5586592179,0,5.7220247164,0.1274259949,0.0196039992,1.1174279553,0.049009998,0.1666339933,1.5095079396,0.3234659871,0,3.3130758675,13,2,114,5,17,154,33,0,338,0.0203071059,0.0031241701,0.0078104254,0.1780776981,0.0265554462,0.240561101,0.0515488073,0,0.527984754,10202,96,94.099196236,640.17,59.07,640.17,15.9363918959,64.2813964925,29.8177997435,0.1882667518
810118,0,0.487804878,7.8048780488,0,0.9756097561,7.8048780488,2.4390243902,0,19.512195122,0,0.0182282173,0.2916514765,0,0.0364564346,0.2916514765,0.0911410864,0,0.7291286912,0,1,16,0,2,16,5,0,40,0,0.0013692628,0,0.0219082046,0.0027385256,0.0219082046,0.0068463139,0,0.0547705116,5486,73,133.0659861466,730.32,2.05,730.32,7.51177566,104.5391612097,28.5268249368,0.1200597935
810201,0.7490064201,0,2.8431672271,0.0764292265,0.198715989,1.3145826964,0.4585753592,0.0152858453,5.6557627637,0.3875968992,0,1.4712861889,0.039550704,0.1028318304,0.6802721088,0.237304224,0.0079101408,2.9267520962,49,0,186,5,13,86,30,1,370,0.0458694126,0,0.0046805523,0.1741165458,0.012169436,0.0805054996,0.0280833138,0.0009361105,0.3463608706,12642,43,34.0136054422,1068.25,65.42,1068.25,11.8343084484,80.2949185059,46.2813130638,0.4048806814
810202,1.2954395241,0.0264375413,7.4818241904,0.1057501652,0.6080634501,4.0052875083,1.0575016523,0,14.5803040317,1.1175732695,0.0228076177,6.4545558216,0.091230471,0.5245752081,3.4553540883,0.9123047098,0,12.578401186,98,2,566,8,46,303,80,0,1103,0.0873315748,0.001782277,0.0071291081,0.5043844015,0.0409923719,0.2700149711,0.0712910815,0,0.982925786,8769,15,17.1057133082,1122.16,75.65,1122.16,7.8143936694,-15.1399937597,32.245707068,1
