addrcode,ngsv_bin,ngsv_bowl,ngsv_bucket,ngsv_cup,ngsv_jar,ngsv_pottedplant,ngsv_tire,ngsv_vase,ngsv_total,n_bin,n_bowl,n_bucket,n_cup,n_jar,n_pottedplant,n_tire,n_vase,n_total,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total,a_bin,a_bowl,a_cup,a_bucket,a_jar,a_pottedplant,a_tire,a_vase,a_total,population,cases,normalized_cases,area,image_area,land_area,pop_density,predicted,error,norm_error
800101,4.4886570423,0.3396821546,11.5006672328,0.1941040883,0.279024627,15.7345626592,1.9895669053,0.0606575276,34.586922237,0.8471083841,0.0641054993,2.1704290489,0.0366317139,0.0526580887,2.9694583085,0.3754750675,0.0114474106,6.5273135217,370,28,948,16,23,1297,164,5,2851,4.6918589906,0.3550595993,0.2028911996,12.021303576,0.2916560994,16.4468678671,2.0796347958,0.0634034999,36.1526756277,43678,383,87.6871651632,78.86,82.43,78.86,553.8676134923,59.7081920232,27.97897314,0.1898226218
800102,4.6787479407,0.5271828666,16.4085667216,0.6589785832,0.6919275124,21.5485996705,3.0642504119,0.0658978583,47.6441515651,0.8170310702,0.0920598389,2.8653624856,0.1150747986,0.1208285386,3.7629459148,0.5350978136,0.0115074799,8.3199079402,142,16,498,20,21,654,93,2,1446,4.133915575,0.4657933042,0.5822416303,14.4978165939,0.6113537118,19.03930131,2.7074235808,0.058224163,42.096069869,17380,134,77.1001150748,34.35,30.35,34.35,505.9679767103,61.6958670701,15.4042480047,0.1109848266
800103,5.8319039451,0.5145797599,17.6329331046,0.3773584906,0.5488850772,19.5197255575,2.9845626072,0.102915952,47.512864494,0.9531819456,0.0841042893,2.8819736473,0.0616764788,0.0897112419,3.1903560415,0.487804878,0.0168208579,7.7656293804,170,15,514,11,16,569,87,3,1385,8.2644628099,0.7292173068,0.5347593583,24.9878463782,0.7778317939,27.6616431697,4.2294603792,0.1458434614,67.3310646573,17835,122,68.4048219793,20.57,29.15,20.57,867.0393777346,60.6994953999,7.7053265793,0.0596829505
800106,1.3888888889,0.017580872,3.6040787623,0.1054852321,0.2285513361,3.6568213783,0.6680731364,0,9.6694796062,0.9661244955,0.012229424,2.5070319188,0.073376544,0.1589825119,2.5437201908,0.4647181118,0,6.7261831968,79,1,205,6,13,208,38,0,550,0.1779279279,0.0022522523,0.0135135135,0.4617117117,0.0292792793,0.4684684685,0.0855855856,0,1.2387387387,8177,31,37.9112143818,444,56.88,444,18.4166666667,52.6674012888,14.756186907,0.1629102719
800107,6.4624029971,0.1070377308,4.9772544822,0.1070377308,0.6689858175,8.9644099545,1.4851485149,0.0133797164,22.7856569441,3.2450954045,0.0537489922,2.4993281376,0.0537489922,0.3359312013,4.5014780973,0.7457672669,0.006718624,11.4418167159,483,8,372,8,50,670,111,1,1703,1.5516078255,0.0256995085,0.0256995085,1.1950271451,0.1606219281,2.1523338366,0.3565806804,0.0032124386,5.4707828713,14884,109,73.2330018812,311.29,74.74,311.29,47.8139355585,60.0733437159,13.1596581653,0.0987174174
800108,3.1030444965,0,12.8512880562,0.2927400468,0.1463700234,6.6744730679,0.9953161593,0,24.0632318501,1.6262657257,0,6.735194845,0.1534212949,0.0767106474,3.4980055232,0.5216324026,0,12.6112304388,106,0,439,10,5,228,34,0,822,0.6374789512,0,0.0601395237,2.6401250902,0.0300697618,1.3711811402,0.2044743806,0,4.9434688477,6518,40,61.3685179503,166.28,34.16,166.28,39.1989415444,68.5254515404,7.1569335901,0.0550982745
800112,3.3936091157,0.0495417389,12.1377260342,0.0990834778,0.0247708695,4.656923458,1.0403765172,0.0247708695,21.4268020808,1.4332043101,0.0209226907,5.1260592112,0.0418453813,0.0104613453,1.9667329219,0.4393765038,0.0104613453,9.0490637096,137,2,490,4,1,188,42,1,865,0.4911098365,0.0071694867,0.0143389733,1.7565242329,0.0035847433,0.6739317465,0.15055922,0.0035847433,3.1008029825,9559,34,35.5685741186,278.96,40.37,278.96,34.2665615142,59.6837416647,24.1151675461,0.2531714568
800113,1.3227513228,0,12.7278071723,0.0881834215,0.2057613169,3.9976484421,0.9994121105,0,19.341563786,0.6876528117,0,6.6167481663,0.0458435208,0.1069682152,2.0782396088,0.5195599022,0,10.0550122249,45,0,433,3,7,136,34,0,658,0.3362474781,0,0.0224164985,3.2354479564,0.0523051633,1.0162146006,0.2540536502,0,4.9166853471,6544,27,41.2591687042,133.83,34.02,133.83,48.8978554883,54.3452748222,13.0861061181,0.1368775931
800114,2.9085140137,0.105764146,4.600740349,0,0.8461131676,6.7160232681,1.3749338974,0,16.5520888419,1.0971474167,0.0398962697,1.7354877319,0,0.3191701576,2.5334131259,0.5186515061,0,6.2437662079,55,2,87,0,16,127,26,0,313,0.774757008,0.0281729821,0,1.2255247218,0.2253838569,1.788984364,0.3662487674,0,4.4090717002,5013,28,55.8547775783,70.99,18.91,70.99,70.6155796591,42.3240402569,13.5307373214,0.1378172769
800115,0.885668277,0.0483091787,13.46215781,0.2898550725,0.193236715,4.6698872786,0.7085346216,0,20.2576489533,0.3928290836,0.0214270409,5.9710020713,0.1285622456,0.0857081637,2.0712806228,0.3142632669,0,8.9850724948,55,3,836,18,12,290,44,0,1258,0.3363297254,0.0183452578,0.1100715465,5.1122118266,0.073381031,1.7733749159,0.2690637803,0,7.6927780835,14001,89,63.5668880794,163.53,62.1,163.53,85.6173179233,54.8319689013,8.7349191781,0.0737753674
