,District,Area (ha),Area of Images (ha),Population,No. of BS,BS/ha land,BS/ha image,BS/person,Jar (%),Bucket (%),Potted plant (%),Tire (%),Bin (%),Bowl (%),Cup (%),Vase (%)
0,Mueang Nakhon Si Thammarat,56460.94,11149.66,271330,19915,0.35,1.79,0.07,1.78,41.91,36.77,6.3,11.77,0.57,0.81,0.1
1,Phrom Khiri,25009.86,1851.33,37513,2099,0.08,1.13,0.06,0.52,39.4,39.45,5.72,13.91,0.57,0.33,0.1
2,Lan Saka,34954.41,1524.44,40900,1479,0.04,0.97,0.04,2.1,46.79,31.58,5.07,13.79,0.34,0.27,0.07
3,Chawang,43949.84,2764.89,67293,3650,0.08,1.32,0.05,1.81,44.03,32.49,6.3,13.89,0.41,1.04,0.03
4,Phipun,50118.06,1186.33,29226,1812,0.04,1.53,0.06,1.77,51.27,32.62,6.07,6.4,0.72,0.77,0.39
5,Chian Yai,32605.19,3286.44,43457,2276,0.07,0.69,0.05,4.66,39.02,34.18,10.76,10.24,0.4,0.66,0.09
6,Cha-uat,76030.04,5300.66,86507,5335,0.07,1.01,0.06,1.61,51.73,27.39,9.99,7.48,0.88,0.81,0.11
7,Tha Sala,42402.74,5421.55,113067,4347,0.1,0.8,0.04,1.29,42.44,34.55,9.71,10.77,0.51,0.62,0.12
8,Thung Song,92218.91,6613.44,160724,8138,0.09,1.23,0.05,1.09,44.25,31.13,10.72,11.53,0.53,0.71,0.05
9,Na Bon,21068.09,1522.78,26934,1986,0.09,1.3,0.07,0.96,58.61,21.25,8.61,9.62,0.35,0.6,0.0
10,Thung Yai,60919.16,4775.33,74317,5781,0.09,1.21,0.08,1.35,65.91,19.49,5.09,6.87,0.42,0.86,0.02
11,Pak Phanang,53791.84,7337.1,130160,6546,0.12,0.89,0.05,6.29,45.88,30.78,8.62,6.94,0.75,0.63,0.12
12,Ron Phibun,43526.29,2464.66,82031,1501,0.03,0.61,0.02,3.6,27.85,43.84,13.26,10.26,0.73,0.33,0.13
13,Sichon,69816.93,5093.66,88611,3052,0.04,0.6,0.03,2.92,28.21,33.91,10.94,23.03,0.43,0.46,0.1
14,Khanom,31582.86,2428.44,30393,2364,0.07,0.97,0.08,2.33,55.54,26.9,7.19,7.28,0.38,0.34,0.04
15,Hua Sai,44298.18,4430.55,66503,2881,0.07,0.65,0.04,4.37,48.14,32.87,8.82,4.3,0.62,0.8,0.07
16,Bang Khan,47596.17,2971.89,46914,1875,0.04,0.63,0.04,7.25,38.93,36.48,12.96,3.36,0.16,0.59,0.27
17,Tham Phannara,17899.76,1014.67,19177,889,0.05,0.88,0.05,2.02,41.17,26.32,21.48,8.1,0.67,0.22,0.0
18,Chulabhorn,23358.42,1614.33,31584,2231,0.1,1.38,0.07,1.08,37.38,29.54,18.69,12.01,0.54,0.76,0.0
19,Phra Phrom,15106.54,2995.44,43588,2880,0.19,0.96,0.07,2.95,48.19,30.21,10.35,7.26,0.35,0.59,0.1
20,Nopphitam,73273.26,1867.89,33320,1293,0.02,0.69,0.04,2.17,33.02,34.42,9.44,18.95,1.39,0.54,0.08
21,Chang Klang,27661.53,1090.0,29909,839,0.03,0.77,0.03,1.55,61.98,25.15,5.24,4.53,0.6,0.95,0.0
22,Chaloem Phra Kiet,18333.87,2108.55,31572,1440,0.08,0.68,0.05,6.53,33.33,36.94,18.26,3.47,0.76,0.56,0.14
