,District,Subdistrict,Area (ha),Area of Images (ha),Population,No. of BS,BS/ha land,BS/ha image,BS/person,Jar (%),Bucket (%),Potted plant (%),Tire (%),Bin (%),Bowl (%),Cup (%),Vase (%)
0,Tham Phannara,Tham Phannara,5469.11,410.11,7833,439,0.08,1.07,0.06,1.82,42.6,24.37,20.5,9.79,0.68,0.23,0.0
1,Thung Song,Thi Wang,7999.21,540.22,13912,723,0.09,1.34,0.05,0.55,65.42,20.06,10.37,2.9,0.14,0.55,0.0
2,Chulabhorn,Khuan Nong Kwa,2758.0,223.44,3311,123,0.04,0.55,0.04,4.07,21.95,58.54,10.57,4.88,0.0,0.0,0.0
3,Chulabhorn,Sam Tambon,4457.22,166.22,7033,227,0.05,1.37,0.03,0.0,34.36,26.43,26.87,10.57,0.88,0.88,0.0
4,Cha-uat,Ban Tun,8270.33,657.11,7133,340,0.04,0.52,0.05,2.65,50.0,35.88,9.41,1.18,0.29,0.59,0.0
5,Thung Song,Khao Ro,8896.1,701.78,10575,244,0.03,0.35,0.02,2.05,18.85,65.16,10.66,2.87,0.0,0.41,0.0
6,Chulabhorn,Ban Cha-Uat,1984.89,112.11,2709,44,0.02,0.39,0.02,4.55,25.0,56.82,11.36,2.27,0.0,0.0,0.0
7,Bang Khan,Ban Lamnao,16800.32,884.55,16284,918,0.05,1.04,0.06,6.1,49.46,31.05,9.8,2.61,0.11,0.54,0.33
8,Bang Khan,Wang Hin,7625.1,628.11,9002,327,0.04,0.52,0.04,4.89,26.3,39.76,23.24,4.59,0.31,0.61,0.31
9,Bang Khan,Bang Khan,15887.1,990.33,13973,433,0.03,0.44,0.03,8.78,28.87,43.42,13.16,4.85,0.23,0.69,0.0
10,Chulabhorn,Na Mo Bun,5954.33,388.89,7146,527,0.09,1.36,0.07,1.14,36.05,30.55,21.25,9.49,0.76,0.76,0.0
11,Thung Song,Kapang,8311.66,532.44,15520,531,0.06,1.0,0.03,1.51,50.09,30.13,13.37,3.39,1.13,0.19,0.19
12,Cha-uat,Cha-Uat,7245.77,824.11,12683,639,0.09,0.78,0.05,2.19,51.49,31.3,7.2,5.79,0.78,1.1,0.16
13,Chulabhorn,Ban Khuan Mut,796.89,73.67,1609,391,0.49,5.31,0.24,0.26,36.32,25.58,25.83,10.74,0.51,0.77,0.0
14,Cha-uat,Khuan Nong Hong,3977.88,536.33,7327,766,0.19,1.43,0.1,1.96,42.69,26.24,17.1,10.57,0.78,0.65,0.0
15,Cha-uat,Tha Pracha,2756.22,370.89,7227,426,0.15,1.15,0.06,1.88,30.52,30.52,7.28,26.29,1.64,1.64,0.23
16,Bang Khan,Ban Nikhom,7283.66,468.89,7655,197,0.03,0.42,0.03,13.2,32.99,41.12,10.15,1.52,0.0,0.51,0.51
17,Cha-uat,Khao Phra Thong,5388.11,278.33,8152,153,0.03,0.55,0.02,0.0,33.33,29.41,26.14,9.8,1.31,0.0,0.0
18,Cha-uat,Wang Ang,12669.1,373.22,10304,531,0.04,1.42,0.05,0.56,33.52,27.5,21.28,14.31,1.13,1.69,0.0
19,Chawang,La-Ai,10645.1,434.44,11515,306,0.03,0.7,0.03,2.61,42.81,45.42,5.56,2.61,0.33,0.65,0.0
20,Cha-uat,Ko Khan,4253.44,352.11,8989,153,0.04,0.43,0.02,0.0,33.33,29.41,26.14,9.8,1.31,0.0,0.0
21,Chulabhorn,Thung Pho,7407.1,650.0,9776,919,0.12,1.41,0.09,1.09,42.0,26.22,13.6,15.78,0.44,0.87,0.0
22,Thung Song,Khuan Krot,4636.22,386.56,10287,2,0.0,0.01,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
23,Chang Klang,Lak Chang,3876.89,514.44,7681,455,0.12,0.88,0.06,1.32,65.05,21.54,6.81,3.3,0.66,1.32,0.0
24,Lan Saka,Khao Kaeo,8647.55,120.0,7620,24,0.0,0.2,0.0,0.0,45.83,37.5,4.17,12.5,0.0,0.0,0.0
25,Thung Yai,Prik,10726.54,794.33,16068,1371,0.13,1.73,0.09,1.39,67.1,19.26,6.93,4.23,0.44,0.66,0.0
26,Na Bon,Kaeo Saen,6830.1,672.78,7125,504,0.07,0.75,0.07,0.6,47.02,26.98,13.29,10.52,0.99,0.6,0.0
27,Thung Yai,Tha Yang,7257.88,643.0,14901,1300,0.18,2.02,0.09,1.0,70.15,17.54,3.54,6.38,0.38,1.0,0.0
28,Chang Klang,Chang Klang,18832.87,276.0,17167,15,0.0,0.05,0.0,0.0,86.67,6.67,6.67,0.0,0.0,0.0,0.0
29,Thung Yai,Thung Sang,6313.55,704.89,5620,510,0.08,0.72,0.09,1.57,41.76,24.51,4.71,25.1,0.78,1.57,0.0
30,Thung Song,Na Luang Sen,9018.44,284.67,9859,297,0.03,1.04,0.03,1.35,39.06,39.39,5.72,13.47,0.34,0.67,0.0
31,Thung Song,Na Mai Phai,7992.33,694.0,9675,378,0.05,0.54,0.04,3.97,31.75,55.29,5.03,1.85,0.26,1.32,0.53
32,Na Bon,Na Bon,8606.88,515.22,11392,457,0.05,0.89,0.04,1.75,32.6,28.45,10.5,26.04,0.0,0.66,0.0
33,Thung Song,Na Pho,3089.44,445.44,6304,621,0.2,1.39,0.1,1.61,31.56,28.5,12.24,24.8,0.64,0.64,0.0
34,Ron Phibun,Ron Phibun,12231.65,254.11,26420,173,0.01,0.68,0.01,0.0,34.1,27.17,26.59,10.98,1.16,0.0,0.0
35,Thung Yai,Bang Rup,8384.32,621.78,9125,324,0.04,0.52,0.04,1.23,39.81,33.02,6.17,17.28,0.0,2.16,0.31
36,Thung Song,Nong Hong,2705.0,304.22,11010,470,0.17,1.54,0.04,0.64,34.89,27.23,12.34,23.83,0.43,0.64,0.0
37,Phipun,Phipun,5020.33,138.78,5621,224,0.04,1.61,0.04,0.0,47.77,32.14,3.57,15.62,0.0,0.89,0.0
38,Thung Song,Chamai,2552.0,635.11,13286,1686,0.66,2.65,0.13,0.65,30.72,36.48,11.74,19.1,0.53,0.77,0.0
39,Thung Song,Pak Phraek,916.89,178.78,30598,681,0.74,3.81,0.02,0.29,34.65,31.72,17.77,14.39,0.44,0.73,0.0
40,Thung Song,Tham Yai,13295.1,804.55,12247,1392,0.1,1.73,0.11,0.79,53.59,26.01,10.92,7.54,0.65,0.5,0.0
41,Cha-uat,Khon Hat,6045.11,526.89,5908,423,0.07,0.8,0.07,1.89,63.36,24.82,6.86,0.71,1.18,0.95,0.24
42,Phipun,Khuan Klang,3869.89,138.78,3979,207,0.05,1.49,0.05,3.86,35.27,49.28,5.8,2.9,0.97,1.93,0.0
43,Phipun,Yang Khom,9116.88,238.33,5898,441,0.05,1.85,0.07,1.81,49.43,36.96,6.12,4.99,0.0,0.45,0.23
44,Tham Phannara,Dusit,6613.22,490.89,7022,389,0.06,0.79,0.06,1.54,41.39,25.96,23.65,6.68,0.51,0.26,0.0
45,Thung Yai,Thung Yai,8158.44,687.67,9878,616,0.08,0.9,0.06,0.65,66.88,16.23,10.23,5.03,0.49,0.49,0.0
46,Phipun,Kathun,12162.32,362.22,5540,483,0.04,1.33,0.09,2.07,49.28,33.13,6.63,5.38,2.28,0.83,0.41
47,Phipun,Khao Phra,19948.65,308.22,8188,457,0.02,1.48,0.06,1.31,64.11,20.57,6.78,5.91,0.0,0.44,0.88
48,Chawang,Huai Prik,6630.88,323.11,6512,434,0.07,1.34,0.07,1.84,52.76,26.27,6.45,11.06,0.23,1.38,0.0
49,Chang Klang,Suan Khan,4951.77,299.56,5061,369,0.07,1.23,0.07,1.9,57.18,30.35,3.25,6.23,0.54,0.54,0.0
50,Chawang,Mai Riang,3077.77,306.56,7821,334,0.11,1.09,0.04,2.99,35.33,34.13,4.19,21.86,0.6,0.9,0.0
51,Chawang,Na Kacha,3118.66,85.44,4648,99,0.03,1.16,0.02,2.02,48.48,24.24,11.11,13.13,1.01,0.0,0.0
52,Chawang,Chawang,2769.22,214.89,8012,376,0.14,1.75,0.05,1.06,45.48,31.65,4.79,15.96,0.53,0.53,0.0
53,Chawang,Chan Di,2617.0,363.0,7462,572,0.22,1.58,0.08,0.35,37.24,37.59,6.29,17.13,0.35,1.05,0.0
54,Lan Saka,Kamlon,9642.99,272.11,9125,318,0.03,1.17,0.03,1.89,46.23,37.11,3.46,10.06,0.63,0.31,0.31
